	observed_features
GA1	4.19191919191919
GA15	4.90909090909091
GA22	5.02020202020202
GA24	5
GA30	5
GA34	4.64646464646465
GA36	5.02020202020202
GA38	4.68686868686869
GA44	3.84848484848485
GA46	3.61616161616162
GA5	4.04040404040404
GA50	5.16161616161616
GA57	5.31313131313131
GA6	5.26262626262626
GA66	3.93939393939394
GA68	5.15151515151515
GA69	4.57575757575758
GA7	5.5050505050505
GA70	4.98989898989899
GA73	4.53535353535354
GA75	4.13131313131313
GA76	5.31313131313131
GA80	5.31313131313131
GB104	4.4949494949495
GB114	4.29292929292929
GB117	4.98989898989899
GB127	3.68686868686869
GB129	3.37373737373737
GB131	3.80808080808081
GB133	4
GB134	4.65656565656566
GB135	7.43434343434343
GB140	3.65656565656566
GB142	5.04040404040404
GB147	4.35353535353535
GB149	3.84848484848485
GB153	5.4040404040404
GB157	5.23232323232323
GB180	3.97979797979798
GB181	4.97979797979798
GB182	4.6969696969697
GB99	3.97979797979798
GCDF199	3.55555555555556
GCDF203	3.92929292929293
GCDF208	4.62626262626263
GCDF210	4.94949494949495
GCDF213	4.08080808080808
GCDF217	5.21212121212121
GCDF222	4.84848484848485
GCDF225	4.66666666666667
GCDF229	5.3030303030303
GCDF232	5.22222222222222
GCDF235	4.44444444444444
GCDF236	4
GCDF238	3.77777777777778
GCDF239	16.4545454545455
GCDF240	5.24242424242424
GCDF241	7.15151515151515
GCDF243	6.03030303030303
GCDF245	4.53535353535354
GCDF248	5.32323232323232
GCDF249	7.2020202020202
GCDF251	7.25252525252525
GCDF262	4.36363636363636
GCDF263	4.97979797979798
GCDF265	3.93939393939394
GCDF266	4.57575757575758
GCDF269	4.83838383838384
GCDF272	4.03030303030303
GCDF274	4.4949494949495
GCDF277	3.93939393939394
GCDF280	3.67676767676768
GCDF285	6.07070707070707
