	shannon_entropy
GA1	1.40317845451335
GA15	1.81673122869807
GA22	1.82197990265737
GA24	1.66636889898281
GA30	2.08685437587121
GA34	1.39471573702022
GA36	1.87228759056606
GA38	1.43274120309032
GA44	1.36347259712464
GA46	1.32295242076456
GA5	1.42393509416494
GA50	1.85194941811753
GA57	1.45010760247901
GA6	1.40520008859987
GA66	1.26505424593266
GA68	1.89027178595104
GA69	1.20714508121764
GA7	1.45373739955614
GA70	1.83177216593371
GA73	1.06239070951522
GA75	1.37836855934915
GA76	1.45870654343052
GA80	1.84356104447376
GB104	1.40348659876041
GB114	1.59826194797356
GB117	1.86170037872344
GB127	1.42333643052331
GB129	1.41055690648053
GB131	1.39981162945253
GB133	1.40214642511973
GB134	1.84480006905085
GB135	1.50632446694283
GB140	1.38319055579275
GB142	1.8454598313444
GB147	1.3991951948513
GB149	1.42033739996074
GB153	1.69626365739059
GB157	1.41010467989995
GB180	1.38293645065626
GB181	1.84355063754291
GB182	1.57043189751207
GB99	1.30531828492102
GCDF199	1.41518182118864
GCDF203	1.39753566263706
GCDF208	1.60464403908719
GCDF210	1.88154205663459
GCDF213	1.45018646248598
GCDF217	1.45302172281747
GCDF222	1.4368905554223
GCDF225	1.39971825979994
GCDF229	1.38933152283095
GCDF232	1.33505007452103
GCDF235	1.42574371906295
GCDF236	1.43349678377078
GCDF238	1.38884723069679
GCDF239	1.69221252508318
GCDF240	1.3964052592142
GCDF241	1.58614513084654
GCDF243	1.56716823965781
GCDF245	1.46723341139967
GCDF248	1.42936592803417
GCDF249	1.48719442970862
GCDF251	1.58748338327543
GCDF262	1.40586367788025
GCDF263	1.43765344055389
GCDF265	1.37849571872556
GCDF266	1.46188233350424
GCDF269	1.41646818241261
GCDF272	1.43562793636351
GCDF274	1.47573315298701
GCDF277	1.34495151228047
GCDF280	1.38090084950413
GCDF285	1.42876400365013
