	GA1	GA15	GA22	GA24	GA30	GA34	GA36	GA38	GA44	GA46	GA5	GA50	GA57	GA6	GA66	GA68	GA69	GA7	GA70	GA73	GA75	GA76	GA80	GB104	GB114	GB117	GB127	GB129	GB131	GB133	GB134	GB135	GB140	GB142	GB147	GB149	GB153	GB157	GB180	GB181	GB182	GB99	GCDF199	GCDF203	GCDF208	GCDF210	GCDF213	GCDF217	GCDF222	GCDF225	GCDF229	GCDF232	GCDF235	GCDF236	GCDF238	GCDF239	GCDF240	GCDF241	GCDF243	GCDF245	GCDF248	GCDF249	GCDF251	GCDF262	GCDF263	GCDF265	GCDF266	GCDF269	GCDF272	GCDF274	GCDF277	GCDF280	GCDF285
GA1	0	0.0328324839209366	0.0758452690912016	0.012800067042311	0.0628633333200758	0.0314282937201135	0.0518133681681421	0.125381683008839	0.0415128861563374	0.0399101229591502	0.00668774834819928	0.0586839328059042	0.0377367780628529	0.0274919303406895	0.0559628127011085	0.0601330664422777	0.145907355303114	0.00818294862924953	0.0569512442958475	0.158661573824256	0.0340917912133113	0.0246022917339672	0.0497554321255949	0.0122351597670014	0.116374693434648	0.031642050868032	0.00786312288520011	0.00983668301400618	0.0280436443522422	0.0300456320942201	0.0566587588853306	0.0400958516719666	0.0112758690580688	0.0296127169552927	0.0170458580503673	0.00849665300579591	0.0278706716825113	0.0317182722642566	0.0367659349558931	0.0465722956666441	0.00925935465240418	0.0452960746720283	0.0184215471416599	0.00947285495754896	0.0465941082197006	0.0520350395918193	0.0070065682626922	0.0275692238256034	0.0101458044826157	0.0352928711317781	0.0462051486088471	0.0647464991744721	0.0326945412753507	0.0116744933584046	0.0163056322542781	0.0285229845292339	0.0296173343021009	0.040081938691061	0.0293217067691413	0.0445997037670829	0.0434784887527878	0.0543237699929512	0.0351098624029846	0.0121941817312906	0.0108885252718917	0.02897922043698	0.0156090701812634	0.0397651806436103	0.0303564114740702	0.0200272431183192	0.0509847900218735	0.0236648689541552	0.0476663708122391
GA15	0.0328324839209366	0	0.0434840449856387	0.0434033182835338	0.0311976218727803	0.0145327731910529	0.0196698332497041	0.0929144139241691	0.0716915311987954	0.0201412772835054	0.0306367885904631	0.0272382752160833	0.0184658519980131	0.0147783798871167	0.0356456847541561	0.0277572795842784	0.113440095475226	0.0301539093782805	0.0261796592650088	0.126183215792131	0.0161362359384921	0.055002009815941	0.0196625988535357	0.0426983986275666	0.0838963286292673	0.00844465622400884	0.0353477919530688	0.0387666860802306	0.0581938027582987	0.0605309193558765	0.0242734288872041	0.0704914243383841	0.0414581922532031	0.0112617528677513	0.0194294680323866	0.0278057089414109	0.00965703827931047	0.0154353411905844	0.0670954758169675	0.015051179918263	0.0286219228774008	0.025093650285418	0.0487437457824596	0.0269912745653078	0.0212366223626892	0.0198773349202567	0.0331158775535196	0.0581364135700043	0.0257182469158763	0.0655458371973399	0.0764501157282579	0.095324422524433	0.06325597395048	0.0416470411600489	0.0201902750578493	0.0242756873632621	0.0145927959055913	0.0709355542003506	0.0145661744354951	0.0753425226518602	0.0739603765459374	0.085193284608499	0.0659658052027225	0.023697022179311	0.0261581848008615	0.0151970679213227	0.0461985532081488	0.0701179348233372	0.0606815884209643	0.0507015588909689	0.0811612452521469	0.0156503766445876	0.0782723217976816
GA22	0.0758452690912016	0.0434840449856387	0	0.0857752088193942	0.033678759623206	0.0498421155857016	0.0245597803344329	0.0499200225817134	0.110522242055999	0.0420411844559089	0.0736334096602719	0.0192662415781406	0.0459984624852436	0.0528283173387701	0.0306135173322576	0.016690699590577	0.0704623402444401	0.0730934104684627	0.0218851910151466	0.0831676098433408	0.0471747050983737	0.0963684663628087	0.0287700334112301	0.0852509361475405	0.0409574157774749	0.0447144342793359	0.0781740469839236	0.0814749800948182	0.098883253230591	0.10106580313107	0.0201981243362293	0.110263447945166	0.084000466071596	0.0470504156793609	0.0619385612357144	0.0707857055269709	0.0493565648417882	0.0503480253797589	0.106650345177964	0.0297878544890519	0.0712676151382803	0.0374897797639021	0.0906695510552387	0.0697805490532909	0.0335403593125367	0.0243906918536834	0.0760422275599205	0.0990071343352096	0.0685968696694784	0.105278915227062	0.114646012734885	0.132269698712561	0.103392529291938	0.084224892159303	0.062955988514604	0.0651887833620563	0.0513997922717321	0.110190004938179	0.0525299369009456	0.113937856196755	0.112612234522598	0.122622405564544	0.105925328954302	0.0665578489953821	0.0689494932691256	0.0513532961709331	0.0886307954788208	0.109182298409216	0.101126271892678	0.0926686530612936	0.118725956389398	0.0562441430308602	0.116480869250466
GA24	0.012800067042311	0.0434033182835338	0.0857752088193942	0	0.0694606812915417	0.043512636889713	0.0618879230636539	0.135355267636102	0.0323980597572194	0.0521869299688725	0.015206987518027	0.0699909578519638	0.0479291051513318	0.0392031987207104	0.0682906725942486	0.07007884467491	0.155908679721331	0.0167227983803987	0.0684260203305519	0.168685085845716	0.0461233040374337	0.0152559366801547	0.0592212854988045	0.00711925437372893	0.126409299144841	0.0411295321854678	0.0107258152230784	0.00910004226707223	0.0190657768727779	0.0204384045703619	0.0666748962619088	0.0307583387075651	0.00793846123710726	0.0395568393998676	0.0291043540763885	0.0184621235750841	0.0396238580872916	0.0436734368629528	0.0275227396438519	0.0571045308477349	0.0166388568233209	0.0573374583113073	0.0103015633008321	0.0198993085356749	0.0588681654948177	0.0618407272103459	0.0127528630211159	0.0176268357270858	0.0217647749573143	0.0261210128100532	0.0370822079065773	0.0550263746444023	0.0229185090795385	0.00813420885242522	0.0279318653329304	0.0386530715370118	0.0415861687124378	0.0278766121376644	0.0415187418423217	0.0329817170183165	0.0339606605244405	0.0423234666914049	0.0228622235179023	0.0237609888709178	0.0217235383643496	0.0411279059457357	0.00822819313481262	0.0305579832632734	0.0211735280945596	0.0102164853203129	0.0418898341330615	0.0358897717763679	0.0374176700909932
GA30	0.0628633333200758	0.0311976218727803	0.033678759623206	0.0694606812915417	0	0.0377045032389537	0.0212320320195321	0.0826174984827186	0.100137654278013	0.0341506551085698	0.0612064234611362	0.0241179089203025	0.0323601128589926	0.040094602702543	0.0368604403026778	0.0226990144060116	0.103170909815364	0.0606594487949453	0.0249100805382536	0.115947317369659	0.0362342470748858	0.0835757433916583	0.0302216200289702	0.07296568001009	0.0736716660962562	0.0317480004383157	0.0662058296077179	0.0696084016952852	0.0872530816028817	0.0883431561818026	0.0257085035131736	0.098492712459781	0.07220072720689	0.035559985617345	0.0500048607437298	0.0584538601564639	0.0367755323196902	0.0378567633228471	0.0952535560636809	0.0224446591479008	0.0592669335880665	0.0331870164872721	0.0787137847657156	0.0578274551515627	0.0302951562811028	0.0204592780633406	0.0637031757846625	0.0856519442315054	0.0565269102878643	0.093935247774076	0.104842040424395	0.122788611159782	0.0908003154427114	0.0721663850350211	0.0510282517608368	0.0495803336227181	0.0393424851989204	0.0926572435130977	0.0406127930477713	0.100182467714103	0.101705636114183	0.108697979362926	0.0883047226251978	0.0544869596834737	0.0569875054437705	0.0395507452200458	0.0746645775407252	0.0983251188740586	0.0890874012251093	0.0788097583284282	0.109646100287486	0.0444173921238292	0.105108094561582
GA34	0.0314282937201135	0.0145327731910529	0.0498421155857016	0.043512636889713	0.0377045032389537	0	0.0261012293454824	0.0993037327672496	0.0719299250931451	0.0101787745341132	0.0288958193056963	0.0325369542050693	0.00995499424452922	0.00801728279306318	0.0255761146451337	0.0341735680145447	0.119860434998768	0.0281884834226785	0.0303620386661755	0.132570273346371	0.00765365610814023	0.0551775723620497	0.0267206762889118	0.0424567583496823	0.0902944805495667	0.0182010109319982	0.0342837231929856	0.0381186782297763	0.0583999287525211	0.060745177959854	0.0309622425096806	0.0702069140970707	0.0410671140998602	0.0205783616055292	0.015752880324873	0.0255914330411928	0.0123878166860327	0.00707238993779145	0.0673829604203653	0.0211925985799594	0.0306765146628775	0.0150920663092455	0.0487918637768187	0.0245412237697629	0.0170863552555216	0.0265206892532532	0.0316803494204927	0.0584043921394782	0.0231221048631752	0.0657162117310847	0.0766857276209677	0.0955619794702289	0.0634791122542487	0.0412603247007637	0.0166070662042587	0.0193917425020099	0.00793404711146999	0.0712012693737492	0.0083679781457635	0.0756062969866425	0.0742071740555041	0.0854037077438952	0.0661328455263918	0.0207078380938243	0.0234650413392845	0.00755184752081116	0.0461610640502638	0.0703011869330599	0.0608849500616392	0.0508997309388536	0.0813637105653984	0.0107055420733311	0.0784539275548675
GA36	0.0518133681681421	0.0196698332497041	0.0245597803344329	0.0618879230636539	0.0212320320195321	0.0261012293454824	0	0.0739441321730012	0.0893380560658195	0.0208570936017416	0.049632180068228	0.0130121953046947	0.0230487070958873	0.028819705557191	0.0254036477776338	0.0106163413012212	0.0944919986556275	0.0490950817110563	0.0135570370375809	0.107212933777559	0.0238035015686594	0.0729437391038495	0.019534591326697	0.0612829072457371	0.0649098218465694	0.0215509082708094	0.05420942781399	0.0575044826425687	0.0758424945401423	0.0783330724772179	0.0121986591774556	0.0880552738754436	0.0600592494763509	0.0241931033922792	0.0379811768993886	0.0467254023133504	0.0253832597059734	0.0266871756187292	0.0847875308809858	0.0086509777790681	0.0472875473776249	0.0196283733509857	0.0668946822559593	0.0458062801209062	0.0163052323076761	0.00754991379117292	0.0520288607086798	0.0759713137992705	0.0445969953493337	0.0831153816496483	0.0940331639816063	0.113032669054739	0.0809941435928899	0.0602981553158977	0.0389905810130365	0.0412394110527304	0.0275406454680393	0.0887325531756035	0.0286759419667751	0.093138001257121	0.0917020851012432	0.102972731069483	0.0837575677744668	0.0425577116659795	0.0450176599275584	0.0276443406826619	0.064698234275736	0.0877061510326886	0.0783742207544621	0.0689143592661077	0.0987524384952555	0.0322786878248808	0.0959761939717062
GA38	0.125381683008839	0.0929144139241691	0.0499200225817134	0.135355267636102	0.0826174984827186	0.0993037327672496	0.0739441321730012	0	0.159967335035103	0.0913111724034704	0.123065466305824	0.0673145630368681	0.0955771959640763	0.102355573213462	0.0777268891758991	0.0655851058210387	0.0208910268112885	0.122551642358303	0.069853812267985	0.0335318311540918	0.0966239707789036	0.145857802545181	0.076538992048514	0.134719320469432	0.0112628295424987	0.094251317132001	0.127554507342854	0.130774015504302	0.148171791825632	0.150576785808862	0.0693699617804301	0.159726813435555	0.133249428085606	0.0963092208510697	0.111274206578129	0.120213048175128	0.0988665186997616	0.0999627928390647	0.156142178207937	0.0792644592848691	0.12063211270354	0.086743369021199	0.139985941952527	0.119191580198028	0.08278140335372	0.0737204540408019	0.125429076979859	0.148591457292287	0.117991464457127	0.154692813603565	0.164031437400616	0.180508080305475	0.152948117015338	0.133613503942586	0.112285652771743	0.11481031895888	0.100859663025899	0.159839237579192	0.10188020690523	0.163536393281185	0.162196200754907	0.172098878808696	0.155581332216359	0.115923116980779	0.118303550388476	0.100765671167109	0.138186144934158	0.158700278762615	0.150605671183027	0.142244681113898	0.168029232458635	0.105557458117755	0.166008887567905
GA44	0.0415128861563374	0.0716915311987954	0.110522242055999	0.0323980597572194	0.100137654278013	0.0719299250931451	0.0893380560658195	0.159967335035103	0	0.0801878847708606	0.0436071718694887	0.0982971551141354	0.0789210961172075	0.0683604003579328	0.0962905473630838	0.0967311832037839	0.180470823188021	0.0450461055481374	0.0975364629517902	0.193180664320185	0.0746679080255104	0.0177864011828647	0.0847415636585216	0.0302275918010208	0.150893773544918	0.0688262477216094	0.0380616566599017	0.0343065548763432	0.0144000840673195	0.0122822261000325	0.0912205002675153	0.0162637698642834	0.0317072860162818	0.065757624880232	0.0570834031460261	0.0468216159691413	0.068423643896375	0.0725952595321819	0.00638759577813831	0.0858187970488963	0.0443533843928816	0.0859153416722712	0.0236412268131971	0.0479377679188143	0.0868302903542615	0.0896451323471888	0.040805160115012	0.0158400548824269	0.0498450705123068	0.00832275970076973	0.00748774312516543	0.0241273610542218	0.0105555363403953	0.0312317041680217	0.0558973545528422	0.0695840307332651	0.0701977863832556	0.01219736443682	0.0696673546776627	0.00758004557068526	0.00648859136789623	0.014672546755673	0.0150381079969006	0.0519001854564806	0.0497243264407823	0.0693780121327651	0.0277724273484012	0.00636653072903911	0.0122761248100568	0.0229108252308585	0.010353539341179	0.0638466314835982	0.00932153975214772
GA46	0.0399101229591502	0.0201412772835054	0.0420411844559089	0.0521869299688725	0.0341506551085698	0.0101787745341132	0.0208570936017416	0.0913111724034704	0.0801878847708606	0	0.0371898064258123	0.0254659467856541	0.00845006380390113	0.0136667491334274	0.0165304056077142	0.0270359574469051	0.111936702722251	0.0366104332485584	0.0231776109266311	0.124563330351704	0.00865408527486101	0.0637256564817043	0.0297563039518968	0.0507648687320526	0.0822542534031049	0.0259021769155457	0.0423856574026021	0.0461697128008712	0.0664147708301592	0.0692899266276697	0.0250084345614669	0.0791532055597113	0.0490260053839948	0.0281416473797325	0.0234456350344864	0.0338650208832038	0.0188330679031258	0.011185957920841	0.0757909758825495	0.0176010878116946	0.0387815753694134	0.00837166129242931	0.0568747900501646	0.0326724168515266	0.011048473685867	0.0212881852298824	0.0399852127890394	0.066997656466985	0.031311788727915	0.0739882252357825	0.0848793483743764	0.104098844407785	0.0719911588186568	0.0494345472843358	0.0246594018876703	0.0271377320109744	0.0123608824161982	0.0798772282221101	0.0132057305385424	0.0842818407097248	0.0827604234218597	0.0941324598259396	0.0749059465497431	0.0288719509756475	0.0315898678575953	0.0122862375027387	0.0547987304326862	0.078702596702961	0.0692699616304552	0.0595067597248337	0.0895284124546581	0.0169088039805906	0.0871295216258126
