	shannon_entropy
GA11	1.57654521461775
GA13	1.51386568889197
GA19	1.44742768995434
GA2	1.39577098154531
GA21	1.3761668618578
GA23	1.4804755807822
GA25	1.44974901467622
GA27	1.42325303185419
GA28	1.73981505352108
GA31	1.51813864343961
GA32	1.40255725778739
GA35	1.46740117230747
GA37	1.31827554619603
GA39	1.23220056409842
GA41	1.29455810586109
GA43	1.3599916538879
GA45	1.79090547229724
GA51	1.43557852918419
GA53	1.40992457894292
GA58	1.60453055372351
GA59	1.85818661888899
GA60	1.25889765996002
GA63	1.55285650113157
GA71	1.50229457481002
GA72	2.52615691919868
GA74	1.38928139043717
GA78	1.42603417572223
GA82	1.3446164082065
GA84	1.2659141096033
GA85	1.45552397319393
GA88	1.42640697484654
GA91	1.46946698512183
GA93	1.43735142588388
GB106	1.41935988989009
GB107	1.47469724242058
GB112	1.43296435575096
GB116	1.36872884776565
GB139	1.38318529620889
GB144	1.3715971138181
GB145	1.38300974968814
GB156	1.4806471907959
GB160	1.38245784257522
GB162	1.32963967566224
GB166	1.30239929691411
GB167	1.4875422057202
GB170	1.41400638497729
GB173	1.37721190645166
GB177	1.35460353175635
GB188	1.42971045247726
GB190	1.41902107850239
GB192	1.28724756631074
GB98	1.33165770137079
GCDF195	1.51164586840196
GCDF198	1.31692847857187
GCDF205	1.37828576901539
GCDF212	1.47001139638659
GCDF216	1.42712436331922
GCDF220	1.51669027684006
GCDF224	1.29682534310016
GCDF227	1.37673529661869
GCDF228	1.25921448113689
GCDF231	1.34836891527779
GCDF237	1.30067311536468
GCDF247	1.42595515781886
GCDF256	1.42705627863917
GCDF260	1.38385889037373
GCDF267	1.42920502088687
GCDF271	1.35830990532526
GCDF275	1.43933450206483
GCDF278	1.28823206778705
GCDF282	1.43643623556873
GCDF286	1.33822008197538
