	GA11	GA13	GA19	GA2	GA21	GA23	GA25	GA27	GA28	GA31	GA32	GA35	GA37	GA39	GA41	GA43	GA45	GA51	GA53	GA58	GA59	GA60	GA63	GA71	GA72	GA74	GA78	GA82	GA84	GA85	GA88	GA91	GA93	GB106	GB107	GB112	GB116	GB139	GB144	GB145	GB156	GB160	GB162	GB166	GB167	GB170	GB173	GB177	GB188	GB190	GB192	GB98	GCDF195	GCDF198	GCDF205	GCDF212	GCDF216	GCDF220	GCDF224	GCDF227	GCDF228	GCDF231	GCDF237	GCDF247	GCDF256	GCDF260	GCDF267	GCDF271	GCDF275	GCDF278	GCDF282	GCDF286
GA11	0	0.0103393967587952	0.0263867938439503	0.041057673367587	0.0455623501817686	0.00952974103762759	0.0423537419939583	0.046797081376567	0.0466394013715814	0.0211587086733845	0.0600306763868741	0.0474361395745566	0.0714733049348749	0.0741045285731253	0.0647898387126248	0.0446438226058628	0.0513394207063347	0.022490427241369	0.0300234706903046	0.0266735859290518	0.0333314785790263	0.0810630887445777	0.0467265553095124	0.032419442622499	0.0861169640915562	0.0295059476988484	0.0318660772960595	0.060769944818634	0.0651250459780597	0.0481833186038215	0.0527249740229713	0.00808884447553393	0.00912286745116228	0.0102377830995153	0.0128276253664734	0.0309723820443256	0.0400867404021097	0.0364724705842408	0.0482496815272654	0.0334910928187045	0.00613204699075508	0.0353255882257163	0.0443432694395082	0.0535156708022561	0.0174049789937345	0.0329605843683686	0.0315981026588365	0.0481003829550864	0.00702560120944235	0.0399097750207993	0.06132461179537	0.0643918692614093	0.0486659893973006	0.0518411925871565	0.0262817741475172	0.0183578561662198	0.0342152425737092	0.0383157001789471	0.0656125138730112	0.0486839484762062	0.0760325336396092	0.053292220100911	0.0622520795599981	0.0275876188387323	0.031954303440271	0.0435167404663081	0.0242289166445985	0.0544875053444294	0.0224020410366733	0.0598262740731841	0.0117214511059262	0.0609670752151446
GA13	0.0103393967587952	0	0.0322373269991291	0.0474222953233755	0.051483539394056	0.0134964665689628	0.0478239496323195	0.0527237671794313	0.0526947683156139	0.0269517587177982	0.0661410808262199	0.0537668990366387	0.0774725290636222	0.0804162700895709	0.0711269430590398	0.0509442613657677	0.05717428100079	0.0288647961887446	0.0363182934998262	0.0323816883387138	0.0388902339218843	0.0868871993187702	0.0524400756365121	0.0382057183017634	0.092057509554757	0.0359131272957482	0.038122924759683	0.0669204052725826	0.0713461086605534	0.0543707962514776	0.0586033051062112	0.00740743291710099	0.0139390808786501	0.00733054131669265	0.00788946517018808	0.0371822156764642	0.046298358250748	0.0425363578316238	0.054154062323799	0.0399251011096769	0.00817352889171529	0.0417543371405565	0.050374146400377	0.0599420529724372	0.0231936788939015	0.0391117296172212	0.0380007675990011	0.0544111709101032	0.0100242503133198	0.0461597458054923	0.0676087354018231	0.0707493839465609	0.0544496844287473	0.0582170929722112	0.0327172619431759	0.0244433404971855	0.0404561328880414	0.044475487687371	0.0719136364306464	0.0550820379696711	0.0824422825014952	0.059694927599695	0.068548923414765	0.0338597350819695	0.0382236011439201	0.0498150301100028	0.0306195750682041	0.0607723768311317	0.0285027300976593	0.0661764663051475	0.0173318435513236	0.0669410626469839
GA19	0.0263867938439503	0.0322373269991291	0	0.0180237293055262	0.0220865281016538	0.0205265149060223	0.0176199815809877	0.0232528668141576	0.0229153967735292	0.00923319467028245	0.0366261839640863	0.0243445967389929	0.0478777067002022	0.0510379240067318	0.0416915213708023	0.0215255687803482	0.0308733887104976	0.0085752387178328	0.00866284275017655	0.0119776639268931	0.019280820040766	0.0573223131247843	0.0226316514302685	0.0101706006498349	0.061874788555533	0.00925221773878097	0.0101333574269607	0.0374476694586602	0.0420074876059185	0.0248379894541671	0.0288809192263418	0.0298598581040748	0.0192337340223744	0.03345521782158	0.0368844758380543	0.00896958598979946	0.0169301394660101	0.0131747509479861	0.0245378764835421	0.0109131345490107	0.0259182126251887	0.0129500531045852	0.0210280888760933	0.030552558299869	0.0108436496970667	0.0103312000218365	0.00956132707322449	0.0250561948903281	0.0236654972864522	0.0167888294137553	0.038225740834017	0.0413575091897839	0.0247722964715024	0.0288188650056419	0.00838306729418386	0.00991337792477523	0.0115765827188193	0.0149228851536684	0.0425310123598937	0.0255753938202756	0.0530040168927775	0.0302960467571863	0.0391680762134116	0.00785046200634855	0.00983569990300263	0.0204592045523565	0.00791163423046884	0.0313698409802534	0.00772894149166391	0.0367961130246068	0.0169829961331091	0.0375019957810038
GA2	0.041057673367587	0.0474222953233755	0.0180237293055262	0	0.00733711149995074	0.0353350434640441	0.00816544883818638	0.00929347217327567	0.0159814740446481	0.0231902087201374	0.0202717715780241	0.00833260241162145	0.0317376367371492	0.0338450413987492	0.0245411363195139	0.00663328117683925	0.0295630946868297	0.0192295417208413	0.0117177246338359	0.0252751483948845	0.0290399044563975	0.04136125959757	0.0109020628557174	0.0124315730274909	0.0544126481194087	0.0126900240982356	0.0104932006480257	0.0211364337845207	0.0250894270950195	0.00941105916357665	0.0132838704710299	0.0451518835481068	0.0343861428343437	0.0478087252363412	0.0526596174547167	0.0113020952875641	0.00621939138591647	0.00639205135527359	0.00957942325998135	0.00912953118412671	0.0409855859335324	0.00825741775380918	0.00671511697418273	0.01317790502005	0.0260652226179537	0.00972793539492131	0.0105507577995233	0.00852105870955821	0.0388575581400984	0.00576177091547053	0.0212895208123055	0.0240779804592632	0.0108720215738309	0.0117533541369167	0.0158013153028665	0.0236807749536114	0.00871788181547979	0.0101182877998611	0.025569967812661	0.00923504595729438	0.0361684793136036	0.0131187886740504	0.0221691368138324	0.0142078193044525	0.0105183080348511	0.00720811351919735	0.0175361026823991	0.014638580760514	0.0204260302237188	0.0196616291585896	0.0311099298749909	0.0212551479209026
GA21	0.0455623501817686	0.051483539394056	0.0220865281016538	0.00733711149995074	0	0.0396929848374742	0.00837731856918621	0.00670595814337521	0.0156775958356306	0.0268784154752138	0.0150840352101233	0.00644055701383023	0.026504932545276	0.0295640531400538	0.0202919179996984	0.00570130118785069	0.0296071165551742	0.0243084077262367	0.0164111574942415	0.028797618612045	0.0325362452428148	0.035894364683014	0.00936272038814772	0.0154884878547175	0.051600169202294	0.0173606116541031	0.0146824199285339	0.0160458314637042	0.0204714736571968	0.00637781674668811	0.0083204416000764	0.0493613921783187	0.0384398965409609	0.0525298422635204	0.0561785764164395	0.0157810847952285	0.00721301370790708	0.00930821864202506	0.00559291694162771	0.0137707385166332	0.0449868920023995	0.012251578351351	0.00461012659551937	0.0097527098818447	0.030289023681873	0.0131408706462632	0.0153259888216101	0.00573994164623207	0.0428017371080138	0.00724436781801885	0.0167553520430999	0.0198573732014858	0.00831613785145108	0.00893662246461544	0.0209163549882971	0.0279523638839071	0.0121270266756641	0.0128450941463763	0.0210315637299885	0.00708041434538447	0.0315422986003787	0.00990827127613805	0.0176642766796203	0.0189257325190637	0.0147338715273736	0.00556889314949983	0.0226212421789615	0.0102240453848164	0.0251124269808784	0.0153304452330551	0.0361296849682777	0.01601173533503
GA23	0.00952974103762759	0.0134964665689628	0.0205265149060223	0.0353350434640441	0.0396929848374742	0	0.0363493927406392	0.040884054632801	0.0407605488605873	0.0154246194464521	0.0542130736314287	0.0417407108753017	0.065524863700072	0.0683613853397393	0.0590693929957019	0.0389289281547371	0.0455006130340725	0.0170914734339793	0.024228735888057	0.020798446046132	0.0278087626352455	0.0750085640736301	0.0406970396035849	0.0264400899165658	0.0802543318331844	0.0237963879763177	0.0260396381238043	0.0549374875621964	0.0593565254650935	0.0424734507169988	0.0467394481629434	0.0116113611970878	0.00688456460678329	0.014376568379859	0.0179874159941318	0.0251419263835432	0.0342053577228628	0.0306264220482924	0.0423756529473596	0.0277989201266507	0.00801256492574031	0.0296331566636159	0.0384768341677357	0.0478176767326365	0.0118708463169333	0.0271531004326964	0.0258905497106789	0.0423518361128641	0.00628297892297159	0.0341476965507474	0.0555922499283998	0.0586377568919249	0.0426603932912	0.0461060416254431	0.0206180974168496	0.0132779904742339	0.028468357239182	0.0325707225599373	0.0597724678239437	0.0429761909851522	0.0703896676575897	0.0475838557638303	0.0565204019046793	0.0217906420279031	0.0261555805689458	0.0377441461978838	0.0185846465315218	0.0488131123058724	0.016698411381286	0.0541263417237335	0.00819120261373676	0.0550948763736571
GA25	0.0423537419939583	0.0478239496323195	0.0176199815809877	0.00816544883818638	0.00837731856918621	0.0363493927406392	0	0.00897936549183508	0.014169186198463	0.0227719872362084	0.0211504702315186	0.0108623495513592	0.0323072184968476	0.0360340614135217	0.0266942633974432	0.00865966810802506	0.0274763020188218	0.021348122987106	0.0135202651532988	0.0240817065021456	0.0275063676891303	0.041448908190083	0.00883552622793224	0.0120567357663837	0.0513483460503395	0.014596499634361	0.012374668478533	0.0221294183754409	0.026910680600188	0.0105538265944242	0.0131655282477938	0.0456713855341829	0.0350115793672475	0.049533526328477	0.0518438207606475	0.0129004655349435	0.00748975321443545	0.00691898540838273	0.00924666685221547	0.0112506375516379	0.0417003043071188	0.0107754262780413	0.00753638373495014	0.0157404314924144	0.0260484820288239	0.0103737190536299	0.0126165258086691	0.0111108601758859	0.039437643656827	0.00702675602709254	0.0231196775449195	0.026360940677349	0.00998401504734324	0.0141483989727655	0.0180854214487052	0.0247592254532407	0.0100133871939504	0.0101317433273476	0.0274165831882544	0.0117243823849342	0.0379140463591826	0.0156747743327434	0.0241025014582909	0.0160391079403008	0.0117909156463363	0.00828243642245805	0.0196643366450162	0.0164613392288712	0.0216068208236435	0.0218530987633975	0.0330458051252245	0.0221297674614823
GA27	0.046797081376567	0.0527237671794313	0.0232528668141576	0.00929347217327567	0.00670595814337521	0.040884054632801	0.00897936549183508	0	0.0158312677716215	0.0276649382219396	0.014853721295808	0.00735513496593657	0.025984517336268	0.0293485791695238	0.0200727180286188	0.0068583975009846	0.0302957217726443	0.0256958390783631	0.0177301297004269	0.0294039041518864	0.0330531626864515	0.0352670923439842	0.0094942066117632	0.01657442203864	0.0506455300733297	0.0187690150359589	0.0158571489766767	0.0158399901966649	0.0202942314190847	0.0066849068377515	0.0083012075981859	0.0505510657047383	0.0396175927510767	0.0539182269513005	0.0569364311869698	0.0171725926309297	0.0089801006240187	0.0107143128695286	0.00650216217477326	0.0152018684729219	0.046208114485548	0.0140241598757454	0.00582672576913892	0.00985860191944121	0.0315615177305058	0.0144534058330317	0.0167798358250899	0.00698697035356114	0.0440408833926976	0.00847198867128522	0.0166357660917753	0.0197204246251571	0.0088176681281472	0.00902474973106174	0.02233213269989	0.029235970341798	0.0136933133471757	0.0140573353262035	0.020809067276805	0.00781469510614195	0.0311645547849963	0.0101772114432257	0.0174805989978139	0.0203292220266479	0.0159145288399863	0.00732056537908831	0.0240294866198015	0.0100626365594434	0.026394285623812	0.0154401425864886	0.037550889520031	0.0158006260359679
GA28	0.0466394013715814	0.0526947683156139	0.0229153967735292	0.0159814740446481	0.0156775958356306	0.0407605488605873	0.014169186198463	0.0158312677716215	0	0.0269327235285832	0.0274455925788392	0.0178541322756145	0.0383054188857175	0.042255690754062	0.0328727842054584	0.0164058867493889	0.0273805617571178	0.0261087648645796	0.019267973856944	0.0258825772884067	0.0289840100220207	0.0474204192257891	0.0134665740823204	0.017655668413323	0.0498230665395356	0.0206331371734239	0.0180594177747315	0.028052742894024	0.0331760999379736	0.0173936773637178	0.0192816168907089	0.0503743913288068	0.0396149489238407	0.0541532804267575	0.0562358855674363	0.0185872118901273	0.015290135724677	0.0144500148840098	0.016075488302217	0.018109131632655	0.0463003768312811	0.0179302668989156	0.0152604327245493	0.022214136707286	0.0313598929782106	0.0170286346433891	0.0190853495997461	0.0182694290115526	0.0440687465321536	0.015176013262585	0.0294052879090863	0.0326128896100051	0.0149514540804155	0.0211378003216603	0.0232993964896058	0.0293602121034355	0.0166326558048075	0.0169100017296244	0.0335186068909337	0.0187936722855977	0.0439086641288466	0.0221069202654892	0.0303018270342639	0.0213236775286872	0.0181438904443775	0.0160478442399339	0.0246208422638551	0.0228443817244937	0.026548922278288	0.0280818561317794	0.0376720831475475	0.0282785913370775
GA31	0.0211587086733845	0.0269517587177982	0.00923319467028245	0.0231902087201374	0.0268784154752138	0.0154246194464521	0.0227719872362084	0.0276649382219396	0.0269327235285832	0	0.0413449386492221	0.0295307602441747	0.0525033921379634	0.0561569176162734	0.0469380243483818	0.0267575225802233	0.0327189302617552	0.00903109380871885	0.0128068113170395	0.0101827511803783	0.0182114440590294	0.0615185650460648	0.0263905761989229	0.0134203247725964	0.0661425936327438	0.0125698778740685	0.0139571329604627	0.0423128953335261	0.0470587335752718	0.0297623004839577	0.0330979686343309	0.0246423807681886	0.014243060751169	0.0282974252195069	0.0307518911049372	0.0131528193502678	0.0219667534757819	0.0181969301539915	0.0290083202693348	0.0158888199037374	0.0204563959868568	0.0177773266461574	0.025979595889121	0.0357628593578784	0.00895309552428021	0.0147376302653227	0.013960869186746	0.0301992630379068	0.0182675602093264	0.0217639329711521	0.0432967899950466	0.046519815150385	0.0283769803930714	0.0340293363451657	0.010622026062467	0.00814173643117432	0.0162663324359767	0.0198925943819411	0.0475325283566208	0.0309252546855597	0.0580391323927677	0.0354981967106913	0.0442434691946314	0.0114422014919157	0.0139761684765813	0.0255691729617691	0.00983110359973378	0.0363999118821488	0.00863876023136945	0.0419451475444466	0.0123853759858945	0.0422943651939582
