	observed_features
GA17	5.46464646464646
GA18	5.75757575757576
GA20	4.93939393939394
GA29	4.55555555555556
GA33	7.62626262626263
GA40	3.88888888888889
GA47	5.05050505050505
GA64	5.96969696969697
GA65	2.96969696969697
GA67	3.28282828282828
GA77	6.15151515151515
GA79	3.53535353535354
GA83	3.86868686868687
GA86	5.87878787878788
GA87	2.98989898989899
GA90	5.01010101010101
GA92	7.74747474747475
GA96	4.87878787878788
GB101	4
GB102	3.66666666666667
GB105	4
GB108	4
GB110	3
GB111	3.8989898989899
GB118	3.52525252525253
GB119	6.72727272727273
GB120	4.09090909090909
GB123	4
GB124	6.3030303030303
GB128	2.96969696969697
GB130	4
GB132	3.97979797979798
GB136	4
GB141	4
GB148	3
GB151	4.13131313131313
GB154	3
GB155	5.08080808080808
GB158	4.93939393939394
GB161	4
GB163	4.97979797979798
GB164	8
GB165	3.85858585858586
GB168	3
GB169	4.97979797979798
GB171	3.91919191919192
GB172	4.90909090909091
GB174	4
GB175	4
GB176	4.93939393939394
GB178	3.2020202020202
GB183	4.98989898989899
GB185	4
GB189	3.76767676767677
GB191	3.32323232323232
GCDF193	4.68686868686869
GCDF194	9.56565656565657
GCDF197	14.2626262626263
GCDF200	6.03030303030303
GCDF202	2.97979797979798
GCDF204	3.94949494949495
GCDF206	3.65656565656566
GCDF214	3.64646464646465
GCDF215	6.92929292929293
GCDF221	4
GCDF223	4.33333333333333
GCDF287	3.96969696969697
GCDF288	6
