	GA17	GA18	GA20	GA29	GA33	GA40	GA47	GA64	GA65	GA67	GA77	GA79	GA83	GA86	GA87	GA90	GA92	GA96	GB101	GB102	GB105	GB108	GB110	GB111	GB118	GB119	GB120	GB123	GB124	GB128	GB130	GB132	GB136	GB141	GB148	GB151	GB154	GB155	GB158	GB161	GB163	GB164	GB165	GB168	GB169	GB171	GB172	GB174	GB175	GB176	GB178	GB183	GB185	GB189	GB191	GCDF193	GCDF194	GCDF197	GCDF200	GCDF202	GCDF204	GCDF206	GCDF214	GCDF215	GCDF221	GCDF223	GCDF287	GCDF288
GA17	0	0.23002995618365	0.21272311498872	0.17894708713272	0.3120466731865	0.18958596032903	0.264127144759352	0.305027346267845	0.160502581358558	0.156897826797583	0.224206989649871	0.246832680897881	0.177436375244982	0.287464265269463	0.158934344283559	0.287750844702576	0.292039819287531	0.248002745841413	0.214185493386755	0.198464714893789	0.305665584676193	0.305665584676193	0.293441598162507	0.2292556122999	0.178976910320496	0.234432625574897	0.235395169318324	0.305665584676193	0.279760163540792	0.160418341933477	0.22169025550888	0.223085886074437	0.22169025550888	0.22169025550888	0.293441598162507	0.226507869520874	0.293441598162507	0.234901744985219	0.239376882862563	0.22169025550888	0.236579806967215	0.270163611029134	0.167078344621743	0.293441598162507	0.227703552881275	0.227671360352425	0.241409220027201	0.305665584676193	0.22169025550888	0.239557922488511	0.237179711874988	0.235942855778367	0.305665584676193	0.208114611793949	0.269859364839515	0.251994044115447	0.403306067742483	0.445510286574412	0.256965778316512	0.173526155978742	0.22534241993921	0.246484636282078	0.246946057887992	0.357147136119881	0.22169025550888	0.282258609930674	0.223889265322324	0.350730221981954
GA18	0.23002995618365	0	0.131069009121733	0.228381188304135	0.322585651820356	0.217835427459442	0.180694298715227	0.220180428840897	0.195811239682665	0.172428068413277	0.17586577785286	0.198162499777596	0.213098733864649	0.321638435275868	0.193902346070367	0.205341070024955	0.222713613976734	0.183454071180989	0.244818709564931	0.143146669887232	0.217118746629267	0.217118746629267	0.202961426416431	0.136577946406723	0.197887005604277	0.157688972474349	0.128847527157779	0.217118746629267	0.202988135543737	0.195638457030961	0.129135759265134	0.130636035417668	0.129135759265134	0.129135759265134	0.202961426416431	0.179973728672573	0.202961426416431	0.143332124697139	0.148974003966409	0.129135759265134	0.146034759930288	0.140136410040085	0.201498485424302	0.202961426416431	0.138506919239657	0.135067776861516	0.151285918937488	0.217118746629267	0.129135759265134	0.149109447205609	0.244965848371838	0.145353104655791	0.217118746629267	0.144185204548065	0.17885961638519	0.164326068098572	0.340468209199231	0.385557793607615	0.16633954467346	0.204938864166086	0.132920467774525	0.154623119922524	0.155426009153627	0.283604437880444	0.129135759265134	0.193226318693522	0.131530091702712	0.276808627326079
GA20	0.21272311498872	0.131069009121733	0	0.209170449619191	0.319605958205883	0.191878942528156	0.207745191405969	0.269416679712859	0.16255543787371	0.143998734182631	0.201888999139721	0.206355419978876	0.191910363564437	0.261939323535471	0.160766960243986	0.22442639831717	0.240367541258985	0.204147002161151	0.207812997277337	0.149827007919249	0.242599755375072	0.242599755375072	0.22880848000447	0.161879227506091	0.169408612781101	0.197451828010004	0.154231351301676	0.242599755375072	0.22647814272028	0.162595323465689	0.154476201933141	0.155956830678865	0.154476201933141	0.154476201933141	0.22880848000447	0.178595132584862	0.22880848000447	0.189117544942131	0.174022805961696	0.154476201933141	0.171008475802161	0.157103832999263	0.168985245316619	0.22880848000447	0.162476057751161	0.160554677097484	0.176135153857747	0.242599755375072	0.154476201933141	0.174056288043056	0.226322258248775	0.170345410704613	0.242599755375072	0.154704339510639	0.205064201219515	0.186137427745218	0.375945240259171	0.415235417659837	0.191831485377719	0.172978395765478	0.158137377502039	0.179758760748864	0.181190548125993	0.303932656468165	0.154476201933141	0.218690097858809	0.156701678918167	0.292131449989598
GA29	0.17894708713272	0.228381188304135	0.209170449619191	0	0.278579771274117	0.111892099877951	0.193811581517109	0.22157557534449	0.0711724666521104	0.111318445755075	0.153877142628636	0.170310438638835	0.0860170156346879	0.227140396532386	0.0693485436377802	0.209917019939784	0.227153625753191	0.182167351753874	0.136653586469515	0.117493202477091	0.239140440267746	0.239140440267746	0.224451922407054	0.153613235613312	0.122366423840926	0.163719804449515	0.195617588331001	0.239140440267746	0.213257224195533	0.0713692089411044	0.145694639345612	0.147331348347543	0.145694639345612	0.145694639345612	0.224451922407054	0.136115322416328	0.224451922407054	0.166920952348396	0.166335469318761	0.145694639345612	0.163479712199081	0.284080683582961	0.0791536831870826	0.224451922407054	0.152540656013621	0.15184239915224	0.168923281735242	0.239140440267746	0.145694639345612	0.166591767033543	0.157769661321483	0.162692442160062	0.239140440267746	0.129465149057032	0.198949529591835	0.182079140360307	0.348349527126611	0.390299157963859	0.186136066612571	0.086243047463623	0.149732272658083	0.172513502791072	0.17354589505027	0.30575413098841	0.145694639345612	0.212975806434347	0.14791342766598	0.298581514093611
GA33	0.3120466731865	0.322585651820356	0.319605958205883	0.278579771274117	0	0.290215271271088	0.365763469702668	0.339250694019626	0.288422954485121	0.293897834371286	0.316541887932655	0.351380367942079	0.285851367577591	0.335213219464728	0.286748523946212	0.329021793498535	0.360102410870369	0.339331421361427	0.277133659732462	0.31736951343941	0.40365572469403	0.40365572469403	0.394526269550275	0.33910589078159	0.298093922436237	0.330696994608099	0.341495731563279	0.40365572469403	0.375855368797225	0.288415711354276	0.333040118292727	0.334141687386566	0.333040118292727	0.333040118292727	0.394526269550275	0.314913241700693	0.394526269550275	0.336765851185779	0.34689385481555	0.333040118292727	0.344247596658239	0.316563715988939	0.292858658593637	0.394526269550275	0.337403657535712	0.338214086763787	0.348722760800761	0.40365572469403	0.333040118292727	0.346988032035755	0.349957799557785	0.343714971057694	0.40365572469403	0.323131892265695	0.37445975403593	0.338643229669995	0.398311740972779	0.382762031422721	0.36029337105727	0.298706331149195	0.336196724889856	0.353969044682353	0.354244447793021	0.350507625425705	0.333040118292727	0.383356968035	0.334941265634214	0.405824997208335
GA40	0.18958596032903	0.217835427459442	0.191878942528156	0.111892099877951	0.290215271271088	0	0.192122232808609	0.242846483759808	0.0558605194844381	0.09540048629196	0.14777773061786	0.157614803336787	0.0846685786364657	0.221423849990272	0.0537974934159505	0.194419730943863	0.211705641614066	0.169492641078177	0.0812357109077651	0.103375695043742	0.226282270418273	0.226282270418273	0.211113361547692	0.140754940684396	0.108272032040839	0.165468117880701	0.184492423227339	0.226282270418273	0.211882602235284	0.0557157666695238	0.132616079816915	0.13428131671566	0.132616079816915	0.132616079816915	0.211113361547692	0.138395819248575	0.211113361547692	0.160206633159006	0.154122769080027	0.132616079816915	0.1508222305865	0.242827072739601	0.0634657058469725	0.211113361547692	0.139902930781998	0.138560994631714	0.156321886287193	0.226282270418273	0.132616079816915	0.154077406031917	0.144673532721671	0.150068416664697	0.226282270418273	0.115613941441883	0.186002777757669	0.16098219637919	0.349698746746237	0.396911768750711	0.173779545107273	0.0708336032023936	0.135923893237957	0.159824582588191	0.16096902766613	0.28613773944101	0.132616079816915	0.200303936320724	0.135130293140508	0.269285742833157
GA47	0.264127144759352	0.180694298715227	0.207745191405969	0.193811581517109	0.365763469702668	0.192122232808609	0	0.203288799546885	0.15520549317201	0.18408654216263	0.142807271651397	0.128413526679982	0.184726709217736	0.300381743546688	0.153328960215805	0.1550559151278	0.168933702689229	0.144654454569323	0.210720942176954	0.101227170336201	0.120111855668853	0.120111855668853	0.102327283928077	0.0745972478997451	0.198370007779261	0.123177168495727	0.113590870809864	0.120111855668853	0.146555449644273	0.155120784059317	0.0680101195848876	0.0696159240300532	0.0680101195848876	0.0680101195848876	0.102327283928077	0.139636831301631	0.102327283928077	0.1090058734537	0.0907365601095888	0.0680101195848876	0.0876401075058513	0.221398814158006	0.161814340663077	0.102327283928077	0.0792504163891679	0.0747216789503441	0.0885277511457903	0.120111855668853	0.0680101195848876	0.0893029302471515	0.184477896175601	0.0868048954077742	0.120111855668853	0.0877361206638843	0.0904496391444947	0.108479031827301	0.329602588457291	0.396728053689003	0.100342530945335	0.157907400844675	0.070411788859414	0.0758846709081395	0.0777237085493827	0.266409213268998	0.0680101195848876	0.114275236153091	0.0704660176280698	0.237418005111242
GA64	0.305027346267845	0.220180428840897	0.269416679712859	0.22157557534449	0.339250694019626	0.242846483759808	0.203288799546885	0	0.22809118709781	0.255632100382236	0.186955003049036	0.223060644974913	0.211431276692887	0.357794646512378	0.226484196505161	0.179685959761793	0.239044348549361	0.209375247208759	0.273319895520355	0.182541716730956	0.235412029003856	0.235412029003856	0.222072386530915	0.157958598562864	0.26383372193033	0.179215140866511	0.196510595467054	0.235412029003856	0.220327696113875	0.228091187097809	0.150688909972557	0.152125849416762	0.150688909972557	0.150688909972557	0.222072386530915	0.148199768304223	0.222072386530915	0.15178175898965	0.169489796715553	0.150688909972557	0.166665005864519	0.277035585557572	0.233431208163801	0.222072386530915	0.159853973472961	0.156521659156289	0.171608389929088	0.235412029003856	0.150688909972557	0.16948979686607	0.27538256181611	0.165958807624952	0.235412029003856	0.168012697437797	0.198996364204871	0.183974075084082	0.27989455756515	0.323432298471229	0.18728630101741	0.236922590268983	0.154281258583069	0.17528686303683	0.17583535024614	0.273840006026957	0.150688909972557	0.212107501999296	0.152844319138864	0.29051166652429
GA65	0.160502581358558	0.195811239682665	0.16255543787371	0.0711724666521104	0.288422954485121	0.0558605194844381	0.15520549317201	0.22809118709781	0	0.0458401084096745	0.135673554745888	0.117599524820995	0.0467379378023172	0.210307225171063	0.00416559688370637	0.179620274841183	0.200216210550732	0.135582855639208	0.0809089576054101	0.0591912017476679	0.187115242535418	0.187115242535418	0.170373520315296	0.0996352885708664	0.0642415269306212	0.14115710187741	0.145194069755198	0.187115242535418	0.177383182927816	0.00624839517504278	0.0911455234192839	0.0928434765700138	0.0911455234192839	0.0911455234192839	0.170373520315296	0.0975535006986724	0.170373520315296	0.132711481265347	0.11286562779034	0.0911455234192839	0.111096327428264	0.246200980863186	0.015387697719188	0.170373520315296	0.0990446762304113	0.0979373352696197	0.115361310692147	0.187115242535418	0.0911455234192839	0.112865627865599	0.0961445393887433	0.110264433002231	0.187115242535418	0.0725568088166642	0.143206270957234	0.132538873815175	0.352875928686123	0.417672316233317	0.135840156689437	0.0226488959307622	0.0953904060703335	0.120010724498166	0.119252809295149	0.291434573329458	0.0911455234192839	0.161221007205019	0.093692452994862	0.262271818488535
GA67	0.156897826797583	0.172428068413277	0.143998734182631	0.111318445755075	0.293897834371286	0.09540048629196	0.18408654216263	0.255632100382236	0.0458401084096745	0	0.169260825811311	0.148963239909423	0.0876111504480694	0.230912606937416	0.0478115479903992	0.211676695130088	0.2294603721662	0.165006495626512	0.118754355744882	0.0986320508850945	0.212860398069777	0.212860398069777	0.197119550572501	0.136313269309925	0.0895986109219416	0.174676953241079	0.156425184222183	0.212860398069777	0.208402379594668	0.049671628634737	0.128241283499231	0.128396147805633	0.128241283499231	0.128241283499231	0.197119550572501	0.134127691990197	0.197119550572501	0.166763451289047	0.148478057498884	0.128241283499231	0.145369562837813	0.217214870031434	0.0584154264681568	0.197119550572501	0.135698567059907	0.134865983718573	0.150893353904136	0.212860398069777	0.128241283499231	0.148478057574142	0.129988521074105	0.146037635628623	0.212860398069777	0.11060320495656	0.173603619213658	0.167052473534237	0.373806181730646	0.430850957379197	0.169003000614619	0.0632213375935651	0.132486166150281	0.151514050409649	0.150505467873029	0.30901402709159	0.128241283499231	0.189591540531679	0.130704657071167	0.287841302577895
