	shannon_entropy
GA11	1.58659500321141
GA13	1.51477404506756
GA17	0.954463227365599
GA18	1.01963078336025
GA19	1.44973887863558
GA20	0.889719298602308
GA24	1.66912544350678
GA27	1.42477945845513
GA28	1.74462784260428
GA29	0.85648873603497
GA33	0.906685103487571
GA35	1.47277172021678
GA37	1.30283283658764
GA39	1.23695967180547
GA40	0.819889244986535
GA41	1.30659258592973
GA44	1.35675165640614
GA45	1.79809713581013
GA5	1.42325815261052
GA58	1.6028827005669
GA59	1.85044944659811
GA60	1.25510003608797
GA63	1.5576326394631
GA65	0.749344431429922
GA67	0.787919854113708
GA7	1.44954727083502
GA71	1.49449483349426
GA72	2.52590012635175
GA76	1.46244983856915
GA77	0.880775380714314
GA79	0.756682336822848
GA82	1.34081463468768
GA83	0.81636872322993
GA85	1.45317949827678
GA86	0.941762272686755
GA87	0.79772299168379
GA92	1.16825945297586
GA96	0.828008380862932
GB101	0.941893695731398
GB102	0.811057019704218
GB116	1.36608031554306
GB118	0.804451113076108
GB119	0.982951948389191
GB127	1.42555123255003
GB128	0.768506990384076
GB130	1.22532447086795
GB144	1.37525512201618
GB147	1.40006365121435
GB149	1.42943538127895
GB151	0.822962117369102
GB155	1.02903746818415
GB157	1.40605554664785
GB164	1.32984329155822
GB165	0.801907628643715
GB169	0.937547475913448
GB175	1.05329942677498
GB178	0.742010401916558
GB189	0.830132212715095
GB98	1.32067952729136
GCDF194	1.16934188076224
GCDF197	2.57869928696677
GCDF202	0.776231271090886
GCDF209	1.425476510672
GCDF213	1.44972552795187
GCDF215	1.08337851616513
GCDF217	1.45368950312701
GCDF218	1.27250406957557
GCDF220	1.53397448947097
GCDF222	1.43688223103908
GCDF224	1.30108995812384
GCDF225	1.39772207458659
GCDF226	1.16687139170168
GCDF227	1.38437599237762
GCDF228	1.2585731227248
GCDF229	1.39154073270422
GCDF230	1.34050319252277
GCDF231	1.35059660987455
GCDF232	1.33652075597094
GCDF235	1.41910513005043
GCDF236	1.42927425912275
GCDF237	1.30279366521087
GCDF238	1.38552753739705
GCDF239	1.71203201952645
GCDF240	1.39412656441529
GCDF241	1.59195296387502
GCDF243	1.56962640951556
GCDF244	1.23274640888771
GCDF245	1.46646074306678
GCDF246	1.41911974594817
GCDF247	1.42850104231133
GCDF248	1.42552454039976
GCDF249	1.48618650750809
GCDF251	1.59326268334412
GCDF252	2.11271855681321
GCDF254	1.22022502321567
GCDF255	1.27971394835247
GCDF256	1.42984824878828
GCDF257	1.36136489797556
GCDF259	1.60593396351387
GCDF260	1.38373087741977
GCDF261	1.29818419282596
GCDF262	1.40910079705924
GCDF263	1.43240258883633
GCDF265	1.3862751611106
GCDF266	1.470055226138
GCDF267	1.42952775477138
GCDF269	1.41208641046263
GCDF271	1.35615693992001
GCDF272	1.43752416828683
GCDF273	1.28644349119968
GCDF274	1.47200483295608
GCDF275	1.43397813009407
GCDF277	1.34987270604847
GCDF278	1.29421624754465
GCDF279	1.21995555558935
GCDF280	1.38216772608805
GCDF281	1.33912142063086
GCDF282	1.43120494494343
GCDF284	1.49110498212732
GCDF285	1.42131685983026
GCDF286	1.34734238561075
