	GA11	GA13	GA17	GA18	GA19	GA20	GA24	GA27	GA28	GA29	GA33	GA35	GA37	GA39	GA40	GA41	GA44	GA45	GA5	GA58	GA59	GA60	GA63	GA65	GA67	GA7	GA71	GA72	GA76	GA77	GA79	GA82	GA83	GA85	GA86	GA87	GA92	GA96	GB101	GB102	GB116	GB118	GB119	GB127	GB128	GB130	GB144	GB147	GB149	GB151	GB155	GB157	GB164	GB165	GB169	GB175	GB178	GB189	GB98	GCDF194	GCDF197	GCDF202	GCDF209	GCDF213	GCDF215	GCDF217	GCDF218	GCDF220	GCDF222	GCDF224	GCDF225	GCDF226	GCDF227	GCDF228	GCDF229	GCDF230	GCDF231	GCDF232	GCDF235	GCDF236	GCDF237	GCDF238	GCDF239	GCDF240	GCDF241	GCDF243	GCDF244	GCDF245	GCDF246	GCDF247	GCDF248	GCDF249	GCDF251	GCDF252	GCDF254	GCDF255	GCDF256	GCDF257	GCDF259	GCDF260	GCDF261	GCDF262	GCDF263	GCDF265	GCDF266	GCDF267	GCDF269	GCDF271	GCDF272	GCDF273	GCDF274	GCDF275	GCDF277	GCDF278	GCDF279	GCDF280	GCDF281	GCDF282	GCDF284	GCDF285	GCDF286
GA11	0	0.141885815922058	0.265453336816846	0.175710377838425	0.217666504857591	0.17897216996385	0.103071929077448	0.125010297519653	0.39253365933293	0.20881446857344	0.343896957659962	0.151507887311957	0.125913344039354	0.127857173059674	0.206675847672453	0.176240449780692	0.123119114146704	0.203264186328108	0.116405983583049	0.103071930824107	0.392654737137785	0.108889128707657	0.187215480652421	0.182268147968283	0.204768314054518	0.148179393685	0.167384733897493	0.649875206778748	0.132797115171949	0.17269049130493	0.200691444874562	0.147465433511469	0.204444055078608	0.152208790399435	0.315722782428216	0.187331387641454	0.192238787734749	0.187804502458547	0.215141361861518	0.13595934834971	0.1046196878711	0.207445266120362	0.153129052333157	0.135546893319976	0.18561808087609	0.103071930824107	0.141138961134159	0.130759328651353	0.113603946683435	0.14931275153702	0.137255305052744	0.164467206149541	0.185532616206793	0.183733305395252	0.105717263292672	0.103071930824107	0.24651988648405	0.115164060424275	0.128222799015263	0.317438531554107	0.36464237609897	0.195766268881282	0.139326965473969	0.11652937795346	0.256893477731883	0.152608086721915	0.171923473590251	0.357522951909388	0.174697691320696	0.131048783410642	0.121101301279818	0.178457549349828	0.196945959937317	0.141096974638947	0.190109350900833	0.113031805282417	0.144027374088019	0.165903098227437	0.125338893177352	0.130977023022471	0.125635403136266	0.144283362928258	0.465700788931413	0.157812891970153	0.17265514720871	0.136729713524645	0.116160632248681	0.123282507908019	0.165538452189378	0.131298082025755	0.148522311798633	0.229814173634907	0.19418309184939	0.442723546666328	0.135370484369835	0.135827524531068	0.135829994497884	0.170446963284654	0.178276029594167	0.119467932515688	0.145136368734336	0.141946046475584	0.204703505480229	0.126820423490937	0.130177012475948	0.133309204084328	0.135258909216666	0.1279527014874	0.120252846057561	0.142657562150166	0.123782228500869	0.19427508196258	0.133741586333851	0.12540130659694	0.117048679344145	0.148987678905027	0.155251495681252	0.139173800804187	0.12803241187669	0.211551905066114	0.115368144276813
GA13	0.141885815922058	0	0.254468866670975	0.166303709525653	0.170354503705496	0.165859653191133	0.0493351465862508	0.0965352806855332	0.408832997234181	0.187186081602116	0.358713237926213	0.117246129634705	0.0820743850799221	0.0790476426670347	0.168716451134345	0.134236771669803	0.0701746619071322	0.187843853400813	0.0642067646099762	0.0493351422588934	0.366536056152498	0.0574022833859981	0.145705372527844	0.13327616769256	0.173718224119658	0.108004389688222	0.12724032486328	0.659806355081423	0.0879268062987713	0.133906004705814	0.15577729734959	0.138915073408773	0.169415699863675	0.119572010117047	0.291061204190206	0.138448768191867	0.16323948053248	0.141436065857609	0.19212752708582	0.0875042902700829	0.050990719780928	0.169492131005032	0.113781649882745	0.0840763241767582	0.136979173530232	0.0493351422588934	0.119723936580498	0.0835956623307382	0.0607534386593886	0.122127415668784	0.0897686141119762	0.160153287472297	0.201938405934006	0.140098488541565	0.0589745320530251	0.0493351422588934	0.203090597809565	0.0622002430297811	0.0796613656925132	0.323818795608752	0.371303126818002	0.147948557906079	0.0853618577197947	0.0683551135877467	0.2463561916404	0.121269334220525	0.111448464783454	0.344711795675032	0.126000624695661	0.0955410598203389	0.083491504907307	0.129237266577253	0.173129733482545	0.119183808301735	0.15364947574533	0.0599256491457874	0.0940735481416035	0.119708615308157	0.0832537042748446	0.0813634222316923	0.0765473368681139	0.0930986144589354	0.481649520872819	0.116014959008405	0.180269077984673	0.100266616227049	0.0630660576162615	0.0799837903580581	0.112082678598888	0.0774427577665057	0.136695193352573	0.23613334097194	0.213319280344729	0.454909005550423	0.0842321196364032	0.0819827733994132	0.0860258830015105	0.118293471446242	0.138219175803842	0.0684320559405317	0.0975832528801578	0.103877934015761	0.176668432494155	0.0771251867026693	0.0808263180608099	0.0827132783303357	0.11086068957141	0.0794052379488042	0.0714309380925966	0.0908434344925965	0.0756313937970183	0.144366924039493	0.0858346469926112	0.074929702650718	0.0637230988065101	0.0989949604628062	0.10366515491647	0.0923192096177978	0.0728669528934089	0.183991959205631	0.0646871575953984
GA17	0.265453336816846	0.254468866670975	0	0.230948513505435	0.299104065229796	0.205890922854194	0.22204829060068	0.252341238311445	0.461254006082361	0.182516051362259	0.314801610103159	0.257779496863033	0.22111758476857	0.247157231199019	0.186501089163651	0.285342623037521	0.241081569983502	0.270005963817991	0.234081097323485	0.22204829060068	0.452731812843169	0.225134895982766	0.289293816745883	0.158326950375781	0.155767596467878	0.258332125466279	0.271786528253796	0.692703017080673	0.220424653379002	0.230051812951011	0.252612508174897	0.268245125283497	0.182322742699674	0.227567773199443	0.286891290504071	0.163804324663649	0.294929911391904	0.267774240988674	0.213849759199704	0.196650359535007	0.223590261180593	0.17587677052602	0.23545259395332	0.252944644502919	0.161860969406788	0.22204829060068	0.267965023791549	0.251595229361997	0.231848664356	0.220009171639127	0.242495684837452	0.30615724728565	0.260291498417806	0.164707403733499	0.229133694536156	0.22204829060068	0.250108672230683	0.212667603534882	0.247036409423207	0.408779115989955	0.449622983282263	0.178613779069197	0.254199670947561	0.236890935009778	0.365672779429441	0.234881208024242	0.283721574779713	0.439985410432623	0.279092246986399	0.254618022252213	0.235262792670366	0.293766624548218	0.315073930404403	0.270528420128606	0.297791851289345	0.231163032879733	0.256750614354105	0.274272015449977	0.248357804435672	0.246256660707671	0.24383319214438	0.26132060873388	0.54712522391117	0.259642347317151	0.301051953826288	0.259949421566544	0.234459570938289	0.245144376550058	0.278771179718803	0.243817008053414	0.27827958702439	0.359525646374683	0.306696460102544	0.534721418462618	0.252385400085136	0.251410107645724	0.244499844207306	0.284314753130229	0.295035469787891	0.23144196681302	0.262735951654237	0.248882770387813	0.319041487996024	0.237700256283837	0.238104524561251	0.249626106610804	0.259813608244212	0.243690087111911	0.238870813163242	0.259835162623362	0.240953014128738	0.292971811135008	0.247048959437043	0.242203054629793	0.2350676522562	0.263037901559863	0.270309174602682	0.244390088199365	0.244269425820823	0.285438313177138	0.222722428766164
GA18	0.175710377838425	0.166303709525653	0.230948513505435	0	0.216392161475137	0.137514251086748	0.131184087887482	0.172079887720897	0.388502592540751	0.230765387566403	0.324788430874998	0.167726965696372	0.140813912133301	0.155899805505995	0.219314676944656	0.197253639499346	0.150568840592498	0.175086346238551	0.144097554356311	0.131184087454746	0.406532231003347	0.137971508655358	0.21275262880807	0.19502971103095	0.17575354317222	0.177058454301923	0.187130606460451	0.659169905113451	0.163354239040854	0.179076207632368	0.214752551695012	0.196672606432453	0.214248056589353	0.116531218590234	0.326370664618232	0.200247436235047	0.227714673437253	0.197087985529292	0.24583622617553	0.148107408047324	0.132682594282534	0.202006835377578	0.157426347184663	0.1634855988633	0.198524346932618	0.131184087454746	0.191076406400011	0.162486144548489	0.14171796527249	0.182665459153177	0.146277573636987	0.225864676438799	0.141694462209037	0.200845142732365	0.13929560321449	0.131184087454746	0.258667060785522	0.140726051895381	0.152255198589028	0.347254205081198	0.391812705632412	0.208719081875652	0.165879041709081	0.147397662701104	0.291405826129697	0.193691722361954	0.197022050308684	0.381632843101868	0.194622581344888	0.17011373661308	0.151135311819462	0.204836111026581	0.236904325471683	0.190056893334846	0.216537819065229	0.140705083101762	0.171501085133941	0.181241570501541	0.160135113671798	0.158057992393621	0.155477055132088	0.171395873359282	0.497462632379147	0.166075591336597	0.214373491064768	0.167763596739281	0.143885049225781	0.157398617685293	0.190976566889069	0.152642010090252	0.196160082338434	0.29144676880102	0.222735215157195	0.487136579824216	0.163019032669113	0.163210614311575	0.138732675002004	0.19709709324319	0.211796890981872	0.140052246437831	0.174184240899378	0.15964325433691	0.239778946520704	0.147224589608459	0.145242741942933	0.160969519395043	0.183623394477322	0.156655067446256	0.149813694719489	0.169731194219279	0.153424597815658	0.208572608964386	0.158016574427937	0.15316534507079	0.144481042804516	0.174606765770927	0.181926311313579	0.153035925324969	0.155090477129426	0.172738983803852	0.128716437785764
GA19	0.217666504857591	0.170354503705496	0.299104065229796	0.216392161475137	0	0.224133836745162	0.161686128658611	0.18957196799756	0.419677624196717	0.270780160722106	0.358735816873083	0.205688109677849	0.177327323709662	0.183489457755867	0.255915964718419	0.214810968555435	0.178943695726268	0.242740230277331	0.174041916192933	0.1616861280242	0.38351957168844	0.167079260121241	0.236092032883504	0.235766159389356	0.249909231834339	0.204554300924594	0.212458676517461	0.647954828209347	0.191039462940711	0.226424961454338	0.250177223668104	0.227788454335597	0.265736474458015	0.191144003076573	0.319513321750694	0.240778376357724	0.237414720759849	0.206754193923464	0.264602903239053	0.19495486735244	0.163300525246546	0.254198061697411	0.208818860728331	0.192259089739034	0.238872060947346	0.1616861280242	0.215336694861903	0.189772895932423	0.171466136332413	0.22336202548497	0.193693804225386	0.250234899233387	0.221744088361962	0.241075460432154	0.169267089727024	0.1616861280242	0.294460867747965	0.173251172998036	0.185847575497841	0.371668262614144	0.374186342111742	0.248222454629763	0.194926222447645	0.17709953608838	0.243190705183555	0.214690427643934	0.212270182246963	0.371109543725698	0.209516152607823	0.198824968170186	0.185814389037062	0.231009266668498	0.246121064994973	0.212357351330645	0.237728534247538	0.16964782044442	0.197618911325028	0.218148298561573	0.184845263589964	0.188000251774234	0.182759903202003	0.199395749699136	0.485316335703387	0.215900216684347	0.259419935896541	0.199749276634644	0.174208696988044	0.175770799808129	0.217480232525203	0.178364463018799	0.22381182771289	0.304901016292849	0.259586926022864	0.490004951905723	0.190691538926477	0.192160925442221	0.185621579845596	0.222616709279593	0.232112911877909	0.177867854371516	0.199081757284626	0.19590044183412	0.253468917137144	0.184191392170209	0.185664288455037	0.188894745639779	0.208734935643434	0.184557511678172	0.173315514913864	0.19734772447158	0.182015581940762	0.212414617283326	0.19222152479595	0.183061846108599	0.174374290694944	0.202616807807124	0.210357372319759	0.18380440408458	0.184392218750836	0.235791793657523	0.173535706193158
GA20	0.17897216996385	0.165859653191133	0.205890922854194	0.137514251086748	0.224133836745162	0	0.127493707660699	0.167240385671682	0.394479288296266	0.195499763231386	0.322105934824606	0.1689874719866	0.148313006348532	0.151832127294531	0.172999637144985	0.192537417625914	0.147324334039833	0.197235499593345	0.140848949184698	0.12749370480088	0.409526743973144	0.134425065461358	0.212068496394263	0.143163779091955	0.136810537220703	0.178013997895624	0.195588788205777	0.662038854276291	0.160666312740156	0.182783004489135	0.199584636376286	0.206710043222164	0.178690897921721	0.144652317042905	0.262153756061588	0.148582658006085	0.221744246178805	0.197704146155203	0.19369696253779	0.130845834058945	0.129003616887135	0.16120638577926	0.17141687454223	0.160680445579041	0.146561756805338	0.12749370480088	0.189542025779233	0.159366083660662	0.138328672857071	0.16122163009049	0.163072760301557	0.225694233024813	0.166253499912493	0.149633829801748	0.135926815615308	0.12749370480088	0.221398124189088	0.126305368503161	0.152779893883777	0.365445087804939	0.410073861329242	0.15925184035241	0.162627129580336	0.144789539870213	0.295793933097762	0.190616057640073	0.195380323735828	0.388640082996301	0.18485846703477	0.166322024510891	0.145146387149439	0.203686094871073	0.238234508189965	0.186879846888284	0.196464991949574	0.137498399619051	0.169420217436672	0.189037056461052	0.152132106239371	0.157204734227347	0.151795702723015	0.168963534917419	0.505728810724586	0.186249506800915	0.240376021336726	0.169877027208456	0.14061651741051	0.15090145959961	0.189465012815264	0.151001557519641	0.203327746892517	0.290935263338715	0.235081588905869	0.492575939255531	0.160546985332562	0.160519703771129	0.148190117798595	0.195495665261541	0.210126926539221	0.145158292085986	0.170816667020471	0.158908705057746	0.233157898026584	0.152871333382497	0.155137157914313	0.158564964356371	0.181834021460905	0.152530273686003	0.14548868639865	0.16742490795488	0.150459201761869	0.212358980561898	0.161058780003452	0.150067634588917	0.14159533608178	0.172211956872483	0.179777986558173	0.153355770659718	0.152357168947205	0.208287871141702	0.14130211722181
GA24	0.103071929077448	0.0493351465862508	0.22204829060068	0.131184087887482	0.161686128658611	0.127493707660699	0	0.0523026680622214	0.396066893381302	0.147147766192152	0.337633735001689	0.0750673439899328	0.0363859223684949	0.0330176108847365	0.127663188058921	0.0944966225307394	0.0220733934216224	0.154492099176754	0.0155264423022886	3.33905728431597e-09	0.350688345805563	0.00892280183551606	0.105428901931439	0.0882971818850498	0.131816354589631	0.0643408717771019	0.0857306770038498	0.659487966335181	0.0415964163786961	0.091925791353463	0.11236417715167	0.0971210915361212	0.127894305370071	0.0767104957836813	0.268435816045361	0.0939938609648232	0.12412739983487	0.107781754228199	0.152944929446235	0.0402127782052214	0.00169795642233152	0.130408175063856	0.0703458770582772	0.0365059943284199	0.092094967913146	3.33905728431597e-09	0.077300359274715	0.036356798095978	0.0118856749219769	0.0783693222799385	0.0443846555038786	0.121335326690963	0.170605399843418	0.0957234644077041	0.0106105974339174	3.33905728431597e-09	0.163230023092844	0.0133783636404331	0.0322412962321157	0.298190694942017	0.371775015887588	0.104552339348528	0.0432003919562005	0.0198255314863491	0.22955174510438	0.0800977389620063	0.0803868515867965	0.329027398141346	0.0914584174497391	0.0501859555104182	0.0363302040329931	0.0840486806600985	0.140111754254193	0.0753356763018095	0.113171171666794	0.0110366983050814	0.0473586354896891	0.0768990734521794	0.0380258798563508	0.0344976853380573	0.029471982559306	0.0460530975041628	0.47575096093645	0.0728386061985991	0.143882611333722	0.0542913432505847	0.0144326045468883	0.0340072837971946	0.0708665021817492	0.0343657020085664	0.0955694905298776	0.204195745289326	0.180069137624129	0.443202359808816	0.0371848627946192	0.0386637196499534	0.0411031386245829	0.0778041339357092	0.100331896257521	0.0207671119924418	0.0518119840596319	0.0602696808178695	0.136136631772284	0.0294020773973758	0.0343133657700026	0.0353235938377358	0.0666762677485305	0.032854287564448	0.023268232737157	0.0441467833536707	0.0288768161547209	0.115455843281525	0.0387719744057992	0.0272007570448942	0.0152815810885254	0.0525480760059118	0.0595458081929499	0.0464644032778072	0.0297332066057309	0.152951938458549	0.0171271548012921
GA27	0.125010297519653	0.0965352806855332	0.252341238311445	0.172079887720897	0.18957196799756	0.167240385671682	0.0523026680622214	0	0.396066891274067	0.171961314073115	0.338477596339553	0.117722167134887	0.0807536274872043	0.0816921096652596	0.15690864712903	0.13109981774757	0.0729609481576416	0.189669418440323	0.0668648779204096	0.0523026661778038	0.357371424936285	0.0587868160671658	0.145589312444432	0.135981668802825	0.176109172479071	0.103043497398947	0.130696694470114	0.655677148188003	0.0877669463780793	0.128591096781269	0.155989767000493	0.11790472607721	0.169593191131799	0.122255314894096	0.273267592294048	0.141121531375731	0.141588096892593	0.1503814279638	0.159475096698963	0.0902459010425391	0.0539857999732097	0.174027339677618	0.110571366273845	0.0870368010881874	0.139356262078791	0.0523026661778038	0.114633262270328	0.0863948845953652	0.0637568964086699	0.114654234582276	0.0924120647362386	0.139095637721546	0.175979897304617	0.142739052950132	0.0618653174941287	0.0523026661778038	0.205775025893341	0.0649390893452095	0.082629671418173	0.298181661000155	0.361509103064585	0.151019445648699	0.0904598106075116	0.0692080130066836	0.227962923734778	0.114142598904142	0.127915266750738	0.343431146758975	0.132171125800321	0.0950678112455691	0.0846959042805012	0.131955377531774	0.163637708119973	0.0987835727218125	0.141566404527185	0.0625501605823185	0.0951048499067323	0.121662710445246	0.0745337609615591	0.0845491400722301	0.0746131218367755	0.0956082648475363	0.46779250857806	0.118126395337208	0.158705647357486	0.0995665164664388	0.0662013287797119	0.0697880750804236	0.118508012946507	0.0840514370927004	0.123719745230946	0.211110604306062	0.176945453359172	0.446263882547918	0.0869893097892554	0.0882773877243803	0.0881166944675373	0.124835271350663	0.132242279334201	0.0713764760041177	0.0890961171814589	0.0997525543571836	0.168851584760529	0.0796478752498374	0.0835516237550312	0.0853092715595708	0.098360323149598	0.0754563181915067	0.0647659996016459	0.0943788647501156	0.0787303499651678	0.155797864639699	0.088559368963946	0.0775687600664719	0.0669702422814538	0.101125197052354	0.10842215175731	0.0956773851066828	0.0793840667101169	0.188971382556389	0.0678785962024421
GA28	0.39253365933293	0.408832997234181	0.461254006082361	0.388502592540751	0.419677624196717	0.394479288296266	0.396066893381302	0.396066891274067	0	0.451203705686511	0.46328078857576	0.408343032453999	0.399465289681849	0.407433663805326	0.450614269333656	0.421662800089277	0.409422564837668	0.413438032221312	0.401167324697128	0.396066892478201	0.512382749656234	0.39860790982993	0.435732693684222	0.449392477370272	0.441523125677398	0.413707599495396	0.422701452416603	0.607481735523301	0.411188225553493	0.418854489320456	0.454456282384468	0.390974892359791	0.455303293888015	0.392353037391046	0.460116361126755	0.4528048041493	0.376224367004452	0.425269836277673	0.446564482016997	0.419852184526848	0.396961637970173	0.449748452263649	0.419227448978809	0.418229265345467	0.451919759764816	0.396066892478201	0.41276683259492	0.41603805997757	0.403304693825317	0.415841571459867	0.409339997503493	0.408205666325309	0.368238946554637	0.452136249855311	0.40000453064538	0.396066892478201	0.486173382311156	0.404588753075311	0.412933821328963	0.467141860663289	0.445416881580545	0.454883371037666	0.410286194898865	0.399582083929669	0.419634328948127	0.415303997620188	0.433208761341644	0.489806023209986	0.411634734182647	0.405986425400984	0.403574153028353	0.446826671109055	0.421186075668142	0.398786878947056	0.417860508115605	0.402553665969107	0.421736007838538	0.426146678400762	0.398493399523725	0.411178006969317	0.40072682198852	0.423763016709174	0.502476480874148	0.407625892999196	0.408049192693498	0.414376482819066	0.404760216372182	0.396436020731926	0.434881959599678	0.401090781646545	0.407078873177971	0.427143511748073	0.384564388580997	0.515341853252565	0.417016674623345	0.41486972585471	0.398840412949071	0.437848703277231	0.422680620593254	0.403593603258181	0.414392235002132	0.407189964043974	0.43554935039896	0.410239524612523	0.406381088224324	0.414995577750784	0.400597552307928	0.404763675849847	0.400667150363778	0.422512191564146	0.407023599503016	0.41782436391922	0.415020823328182	0.404076121521719	0.405234393597853	0.422884200106968	0.429154375285813	0.409562292424115	0.409883764958141	0.406358243389563	0.398872064821648
GA29	0.20881446857344	0.187186081602116	0.182516051362259	0.230765387566403	0.270780160722106	0.195499763231386	0.147147766192152	0.171961314073115	0.451203705686511	0	0.280871707381624	0.202102351143505	0.159281768130534	0.176323339568846	0.107765229099026	0.224703849791878	0.167610809658513	0.262940048870414	0.160598068752072	0.147147766192152	0.418317496475547	0.150134561715102	0.225174701123527	0.0700363609939813	0.115001047952007	0.190833983246726	0.211566277751417	0.673041395466737	0.176024879545274	0.159869358733748	0.181156698200438	0.168644975231151	0.0959104083177417	0.196490625088865	0.235601768913594	0.0759661647519379	0.231656225793289	0.206261084066949	0.137597078551548	0.11671380412699	0.148816080481717	0.113893767310814	0.160786672147235	0.181342521249646	0.073830795051022	0.147147766192152	0.191572634935981	0.179943932577817	0.158178722316569	0.126476787406989	0.172432379213848	0.198331669725553	0.285121280737598	0.0777315580841116	0.155648454647474	0.147147766192152	0.17544476413215	0.135806907288203	0.175484808933253	0.352404671184944	0.392954129161257	0.0925466792300494	0.183447368744046	0.160196375741501	0.309728474102237	0.205287877733659	0.218345331724244	0.399844461167702	0.218055223952038	0.172027476809242	0.174038170865088	0.225771085330934	0.250058360247299	0.188246914157362	0.236367825155306	0.157540928835821	0.184919443922211	0.208996019956439	0.177600077155865	0.176064065008452	0.172414342035549	0.190042776742367	0.51600285491558	0.196698805298468	0.220449189269784	0.187817786679123	0.16102514762168	0.174451957974169	0.210963224822825	0.176381265725752	0.201393059407822	0.280953453195215	0.259983232226035	0.485644532273514	0.180735839737786	0.181047761229554	0.177351930451514	0.216596490731745	0.225531004068225	0.16159883126466	0.19274641016517	0.194429884655307	0.246240532759464	0.168483543501358	0.166434675981902	0.177812972228334	0.174382018019455	0.170464282987094	0.166446606468673	0.188343933736435	0.170341718151714	0.240227558320821	0.177188695831732	0.170642302117564	0.161736678444978	0.193874227579194	0.200992136140062	0.187199821526354	0.172726464692992	0.259686226269814	0.150219588117166
