	GA1	GA15	GA2	GA21	GA22	GA23	GA25	GA30	GA31	GA32	GA34	GA36	GA38	GA43	GA46	GA47	GA50	GA51	GA53	GA57	GA6	GA64	GA66	GA68	GA69	GA70	GA73	GA74	GA75	GA78	GA80	GA84	GA88	GA90	GA91	GA93	GB104	GB105	GB106	GB107	GB108	GB110	GB111	GB112	GB114	GB117	GB120	GB123	GB124	GB129	GB131	GB132	GB133	GB134	GB135	GB136	GB139	GB140	GB141	GB142	GB145	GB148	GB153	GB154	GB156	GB158	GB160	GB161	GB162	GB163	GB166	GB167	GB168	GB170	GB171	GB172	GB173	GB174	GB176	GB177	GB180	GB181	GB182	GB183	GB185	GB188	GB190	GB191	GB192	GB99	GCDF193	GCDF195	GCDF198	GCDF199	GCDF200	GCDF203	GCDF204	GCDF205	GCDF206	GCDF208	GCDF209	GCDF210	GCDF212	GCDF214	GCDF216	GCDF218	GCDF221	GCDF223	GCDF226	GCDF230	GCDF244	GCDF246	GCDF252	GCDF254	GCDF255	GCDF257	GCDF259	GCDF261	GCDF273	GCDF279	GCDF281	GCDF284	GCDF287	GCDF288
GA1	0	0.148044077134986	0.153425160697888	0.167401285583104	0.41722681359045	0.0428466483011938	0.152598714416896	0.302754820936639	0.0817630853994491	0.228668503213958	0.122001836547291	0.235629017447199	0.64514233241506	0.165179063360882	0.142846648301194	0.241671258034894	0.219081726354454	0.0877685950413223	0.111808999081726	0.143893480257117	0.105123966942149	0.188411386593205	0.205325987144169	0.282148760330578	0.735169880624427	0.203232323232323	0.774986225895317	0.114012855831038	0.135261707988981	0.116216712580349	0.366611570247934	0.23682277318641	0.196014692378329	0.142901744719927	0.0449770431588613	0.039504132231405	0.0472910927456382	0.204040404040404	0.0438934802571166	0.0492561983471074	0.175261707988981	0.392727272727273	0.138549127640037	0.118328741965106	0.564591368227732	0.188007346189164	0.21722681359045	0.164517906336088	0.0952433425160698	0.0404775022956841	0.0981083562901744	0.207015610651974	0.104407713498623	0.332506887052342	0.121928374655647	0.307750229568412	0.134802571166207	0.0455280073461892	0.218989898989899	0.19089072543618	0.126574839302112	0.103930211202938	0.101561065197429	0.136106519742883	0.0424977043158861	0.189292929292929	0.137263544536272	0.267382920110193	0.162038567493113	0.297373737373737	0.191313131313131	0.0667401285583104	0.251643709825528	0.122809917355372	0.0353535353535354	0.195904499540863	0.120330578512397	0.226703397612489	0.217594123048669	0.175004591368228	0.127474747474747	0.186831955922865	0.0566391184573003	0.170743801652893	0.149035812672176	0.0297887970615243	0.147933884297521	0.220183654729109	0.22712580348944	0.169403122130395	0.225711662075298	0.173976124885216	0.192157943067034	0.067346189164371	0.200881542699725	0.0466115702479339	0.460238751147842	0.102075298438935	0.215408631772268	0.16732782369146	0.217483930211203	0.240165289256198	0.0728191000918274	0.466354453627181	0.123654729109275	0.251331496786042	0.140532598714417	0.20040404040404	0.285674931129477	0.194802571166207	0.250927456382002	0.214104683195592	0.167033976124885	0.260973370064279	0.247970615243343	0.228999081726354	0.152580348943985	0.228943985307622	0.239834710743802	0.293792470156107	0.20752984389348	0.0681542699724517	0.195335169880624	0.196326905417815
GA15	0.148044077134986	0	0.253957759412305	0.268999081726354	0.277906336088154	0.144022038567493	0.254361799816345	0.164977043158861	0.181322314049587	0.330064279155188	0.165399449035813	0.0973921028466483	0.506152433425161	0.26613406795225	0.183103764921947	0.342148760330579	0.101010101010101	0.187419651056015	0.212451790633609	0.182277318640955	0.159871441689624	0.289715335169881	0.242020202020202	0.142809917355372	0.596179981634527	0.0967860422405877	0.635904499540863	0.214306703397613	0.174031221303949	0.217134986225895	0.23307621671258	0.337924701561065	0.297667584940312	0.244517906336088	0.141157024793388	0.148595041322314	0.152800734618916	0.162497704315886	0.142497704315886	0.142167125803489	0.07089072543618	0.429770431588613	0.239173553719008	0.219063360881543	0.425509641873278	0.0674380165289256	0.317961432506887	0.0762718089990817	0.0874747474747475	0.14712580348944	0.198475665748393	0.308062442607897	0.205454545454545	0.195151515151515	0.223140495867768	0.409476584022039	0.236216712580349	0.155482093663912	0.320771349862259	0.0712029384756658	0.22692378328742	0.204481175390266	0.0794674012855831	0.236418732782369	0.140128558310376	0.263140495867769	0.237832874196511	0.368797061524334	0.263103764921947	0.157006427915519	0.291698806244261	0.164701561065197	0.352029384756657	0.22376492194674	0.145968778696051	0.174490358126722	0.220514233241506	0.22198347107438	0.202203856749311	0.275757575757576	0.228282828282828	0.059742883379247	0.113572084481175	0.210064279155188	0.0743617998163453	0.143213957759412	0.249072543617998	0.32058769513315	0.32811753902663	0.208135904499541	0.32692378328742	0.275775941230487	0.292580348943985	0.168888888888889	0.285050505050505	0.145785123966942	0.4978145087236	0.202497704315886	0.315904499540863	0.135537190082645	0.303801652892562	0.101928374655647	0.172066115702479	0.503489439853076	0.22475665748393	0.350413223140496	0.242093663911846	0.23247015610652	0.386060606060606	0.295573921028466	0.351423324150597	0.295812672176309	0.249550045913682	0.361469237832874	0.34396694214876	0.318714416896235	0.210560146923783	0.329366391184573	0.340293847566575	0.394233241505969	0.3067217630854	0.160128558310377	0.295959595959596	0.298071625344353
GA2	0.153425160697888	0.253957759412305	0	0.0382920110192838	0.417575757575758	0.13068870523416	0.0337190082644628	0.354637281910009	0.0902112029384757	0.0848668503213958	0.266023875114784	0.313057851239669	0.645730027548209	0.0328925619834711	0.289660238751148	0.0925252525252525	0.350247933884298	0.0763820018365473	0.0488337924701561	0.290670339761249	0.254288337924702	0.0534435261707989	0.354361799816345	0.338879706152433	0.735665748393021	0.348980716253443	0.775224977043159	0.0477318640955005	0.278530762167126	0.0473094582185492	0.364628099173554	0.0916253443526171	0.0556473829201102	0.035941230486685	0.166354453627181	0.125711662075298	0.114674012855831	0.157557392102847	0.174325068870523	0.191919191919192	0.211698806244261	0.542112029384757	0.0309274563820018	0.0486868686868687	0.564885215794307	0.243103764921947	0.0714600550964187	0.21247015610652	0.185050505050505	0.134765840220386	0.0628282828282828	0.0669054178145087	0.0559779614325069	0.333627180899908	0.0563820018365473	0.161854912764004	0.0321212121212121	0.119706152433425	0.0739761248852158	0.241561065197429	0.0403673094582185	0.0546556473829201	0.245068870523416	0.0339761248852158	0.151313131313131	0.0561432506887052	0.0344903581267218	0.119173553719008	0.0461891643709825	0.327933884297521	0.0484848484848485	0.0991000918273646	0.103140495867769	0.0418732782369146	0.125785123966942	0.125638200183655	0.04455463728191	0.119357208448118	0.12595041322314	0.0352617079889807	0.0386042240587695	0.29842056932966	0.164334251606979	0.0742148760330579	0.186556473829201	0.141799816345271	0.0335537190082645	0.0707254361799816	0.0837098255280074	0.320293847566575	0.0805876951331496	0.0470339761248852	0.0506887052341598	0.0915151515151516	0.0573002754820936	0.177557392102847	0.611441689623508	0.0564738292011019	0.0687419651056015	0.315078053259871	0.0707805325987144	0.314178145087236	0.091386593204775	0.616198347107438	0.0444077134986226	0.101524334251607	0.0332966023875115	0.0803305785123967	0.135665748393021	0.0514784205693297	0.104609733700643	0.0685215794306703	0.146097337006428	0.11346189164371	0.100036730945822	0.0805876951331497	0.0667584940312213	0.0804591368227732	0.0897520661157025	0.143544536271809	0.0591551882460973	0.104664830119376	0.0492561983471075	0.0518273645546373
GA21	0.167401285583104	0.268999081726354	0.0382920110192838	0	0.41763085399449	0.144701561065197	0.035941230486685	0.364903581267218	0.103397612488522	0.0667401285583103	0.281616161616162	0.329219467401286	0.645032139577594	0.0289072543617998	0.306464646464647	0.0789531680440771	0.366023875114784	0.0986593204775023	0.0664462809917355	0.302350780532599	0.267933884297521	0.0473094582185492	0.371129476584022	0.354967860422406	0.735114784205694	0.362699724517906	0.774967860422406	0.0644260789715335	0.293994490358127	0.0649770431588614	0.361469237832874	0.0736271808999082	0.0391184573002755	0.0421487603305785	0.180330578512397	0.137869605142332	0.130523415977961	0.159100091827365	0.189880624426079	0.202295684113866	0.229201101928375	0.559393939393939	0.042020202020202	0.0635078053259871	0.564683195592287	0.2566391184573	0.05643709825528	0.229605142332415	0.201561065197429	0.153278236914601	0.0822956841138659	0.0471625344352617	0.0669605142332415	0.335739210284665	0.0660238751147842	0.142038567493113	0.0356106519742883	0.13702479338843	0.0540312213039486	0.258714416896235	0.058732782369146	0.0716069788797061	0.259283746556474	0.0429568411386593	0.164389348025712	0.044058769513315	0.0462993572084481	0.102038567493113	0.0304683195592286	0.342424242424242	0.0384389348025712	0.115922865013774	0.0891276400367309	0.0537924701561065	0.142295684113866	0.124370982552801	0.0587878787878788	0.124077134986226	0.128797061524334	0.0322681359044995	0.0485583103764922	0.31267217630854	0.180863177226814	0.0722497704315886	0.203434343434343	0.153608815426997	0.0461340679522498	0.0590266299357208	0.0642791551882461	0.334931129476584	0.0629935720844812	0.0431588613406795	0.0374104683195592	0.110449954086318	0.0492929292929293	0.19465564738292	0.62633608815427	0.0766574839302112	0.0548943985307622	0.331735537190083	0.0606611570247934	0.328833792470156	0.10752984389348	0.632929292929293	0.0634710743801653	0.0879706152433425	0.0357759412304867	0.077979797979798	0.122460973370064	0.036969696969697	0.0881359044995409	0.0584022038567493	0.156510560146924	0.0986960514233242	0.0854361799816346	0.0690358126721763	0.0809550045913682	0.066317722681359	0.0769329660238751	0.130192837465565	0.0519191919191919	0.125197428833792	0.0406427915518825	0.0384205693296602
GA22	0.41722681359045	0.277906336088154	0.417575757575758	0.41763085399449	0	0.413516988062443	0.416859504132231	0.189494949494949	0.416198347107438	0.44791551882461	0.417392102846648	0.187897153351699	0.230431588613407	0.417704315886134	0.41959595959596	0.458861340679522	0.213884297520661	0.417337006427915	0.41682277318641	0.41722681359045	0.419081726354454	0.42119375573921	0.426868686868687	0.145179063360882	0.320330578512397	0.250743801652893	0.359779614325069	0.417594123048669	0.417318640955005	0.416620752984389	0.101046831955923	0.454967860422406	0.425693296602388	0.416271808999082	0.416345270890726	0.416216712580349	0.416877869605143	0.270211202938476	0.416896235078053	0.416198347107438	0.256326905417814	0.589403122130395	0.417079889807163	0.416730945821855	0.15504132231405	0.234123048668503	0.43722681359045	0.257851239669422	0.338659320477502	0.417961432506887	0.417943067033976	0.431037649219467	0.416473829201102	0.0945821854912764	0.416345270890726	0.526850321395776	0.416216712580349	0.418769513314968	0.440514233241506	0.237079889807163	0.418530762167126	0.418530762167126	0.3433608815427	0.418677685950413	0.416253443526171	0.395977961432507	0.417851239669422	0.486170798898072	0.416675849403122	0.125454545454546	0.424462809917355	0.416345270890726	0.467401285583104	0.416363636363636	0.417171717171717	0.300716253443526	0.418530762167126	0.339522497704316	0.322222222222222	0.418383838383839	0.416510560146924	0.236363636363636	0.381965105601469	0.355353535353535	0.287382920110193	0.416271808999082	0.416749311294766	0.439687786960514	0.446629935720845	0.424260789715335	0.445895316804408	0.418457300275482	0.423691460055097	0.41763085399449	0.410523415977961	0.417447199265381	0.658934802571166	0.418530762167126	0.437263544536272	0.352341597796143	0.423305785123967	0.182607897153352	0.416326905417815	0.663581267217631	0.416547291092746	0.46613406795225	0.416198347107438	0.359687786960514	0.501248852157943	0.423875114784206	0.467676767676768	0.416290174471993	0.408650137741047	0.477079889807163	0.460238751147842	0.435996326905418	0.375702479338843	0.447052341597796	0.456584022038568	0.51030303030303	0.430541781450872	0.412433425160698	0.423452708907254	0.424168962350781
GA23	0.0428466483011938	0.144022038567493	0.13068870523416	0.144701561065197	0.413516988062443	0	0.128833792470156	0.298071625344353	0.0576124885215794	0.204536271808999	0.144132231404959	0.230651974288338	0.642222222222222	0.142314049586777	0.168411386593205	0.218769513314968	0.230119375573921	0.065307621671258	0.0899540863177227	0.165564738292011	0.130707070707071	0.165087235996327	0.232947658402204	0.276786042240588	0.73228650137741	0.222516069788797	0.772121212121212	0.0931864095500459	0.1566391184573	0.0943434343434344	0.359522497704316	0.213553719008264	0.171423324150597	0.119357208448118	0.049880624426079	0.0330027548209366	0.0408080808080808	0.181212121212121	0.0561432506887052	0.0661524334251607	0.160716253443526	0.42119375573921	0.116988062442608	0.0994490358126722	0.56178145087236	0.180734618916437	0.194288337924702	0.158732782369146	0.0877502295684114	0.0378696051423324	0.0765472910927456	0.183856749311295	0.0855096418732782	0.328576675849403	0.105087235996327	0.283709825528007	0.113149678604224	0.0423324150596878	0.194233241505969	0.181744719926538	0.104205693296602	0.084297520661157	0.119044995408632	0.115886134067952	0.0394123048668503	0.164242424242424	0.115188246097337	0.243287419651056	0.143911845730027	0.290927456382002	0.168925619834711	0.0446831955922865	0.228778696051423	0.0996326905417814	0.0317906336088154	0.176877869605142	0.0992837465564738	0.200752984389348	0.192066115702479	0.151845730027548	0.106262626262626	0.187805325987144	0.05366391184573	0.151662075298439	0.132176308539945	0.0325803489439853	0.124591368227732	0.197281910009183	0.203911845730028	0.197190082644628	0.202038567493113	0.149862258953168	0.169403122130395	0.047842056932966	0.174894398530762	0.0601469237832874	0.488337924701561	0.0815977961432507	0.192451790633609	0.190909090909091	0.191533516988062	0.235114784205693	0.0505417814508724	0.494839302112029	0.100348943985308	0.22732782369146	0.116877869605142	0.175904499540863	0.262662993572084	0.171643709825528	0.227842056932966	0.188227731864096	0.151588613406795	0.238181818181818	0.222681359044996	0.203177226813591	0.126427915518825	0.20595041322314	0.216786042240588	0.270633608815427	0.183544536271809	0.0440036730945822	0.17208448117539	0.171827364554637
GA25	0.152598714416896	0.254361799816345	0.0337190082644628	0.035941230486685	0.416859504132231	0.128833792470156	0	0.344591368227732	0.0843709825528007	0.0856565656565656	0.267199265381084	0.314820936639118	0.645013774104683	0.0355739210284665	0.292102846648301	0.10099173553719	0.351515151515152	0.0812488521579431	0.0514784205693297	0.285123966942149	0.252800734618916	0.0535537190082645	0.356749311294766	0.340532598714417	0.735078053259872	0.347750229568411	0.774931129476584	0.051404958677686	0.279467401285583	0.0499908172635445	0.360826446280992	0.0964187327823691	0.0517355371900826	0.0316253443526171	0.164775022956841	0.121542699724518	0.115812672176309	0.157777777777778	0.175408631772268	0.183324150596878	0.214582185491276	0.545032139577594	0.0336455463728191	0.0489072543617998	0.564591368227732	0.241946740128558	0.0780532598714417	0.21524334251607	0.187162534435262	0.138200183654729	0.0674012855831038	0.0715886134067952	0.0547658402203857	0.333149678604224	0.0543985307621671	0.162809917355372	0.0309090909090909	0.122626262626263	0.0692378328741965	0.24435261707989	0.0440955004591368	0.0590449954086318	0.244628099173554	0.037722681359045	0.14791551882461	0.0579981634527089	0.0383103764921947	0.122993572084481	0.0449586776859504	0.32831955922865	0.0560697887970615	0.0975022956841139	0.111662075298439	0.0391919191919192	0.127860422405877	0.123195592286501	0.0470339761248852	0.120752984389348	0.125619834710744	0.0418732782369146	0.0368778696051423	0.297979797979798	0.166299357208448	0.0694214876033058	0.18910927456382	0.138126721763085	0.0351698806244261	0.0803856749311295	0.0884848484848485	0.320275482093664	0.0842240587695133	0.0405325987144169	0.0560514233241506	0.0934618916437098	0.0632690541781451	0.180018365472911	0.611606978879706	0.061267217630854	0.0750413223140496	0.317355371900826	0.0774104683195593	0.314086317722681	0.0905234159779615	0.618567493112948	0.0462442607897154	0.11010101010101	0.0259136822773186	0.0825895316804408	0.14514233241506	0.0564738292011019	0.111111111111111	0.0758126721763086	0.146629935720845	0.121322314049587	0.107566574839302	0.0890174471992654	0.0663177226813591	0.0882460973370064	0.0988062442607897	0.152231404958678	0.0671808999081727	0.108154269972452	0.0545638200183654	0.0513498622589532
GA30	0.302754820936639	0.164977043158861	0.354637281910009	0.364903581267218	0.189494949494949	0.298071625344353	0.344591368227732	0	0.294967860422406	0.426391184573003	0.305087235996327	0.0815610651974288	0.409127640036731	0.365987144168962	0.307750229568411	0.443085399449036	0.105840220385675	0.308227731864096	0.317410468319559	0.2966391184573	0.302405876951332	0.388613406795225	0.319981634527089	0.082516069788797	0.499191919191919	0.139283746556474	0.539044995408632	0.320330578512397	0.304683195592286	0.320036730945822	0.205252525252525	0.437520661157025	0.388980716253444	0.340826446280992	0.301799816345271	0.29880624426079	0.304738292011019	0.244609733700643	0.304407713498623	0.292598714416896	0.152011019283747	0.493608815426997	0.340055096418733	0.32178145087236	0.328797061524334	0.121836547291093	0.418567493112947	0.152800734618916	0.227750229568411	0.30771349862259	0.312029384756658	0.407474747474747	0.311147842056933	0.146795224977043	0.322626262626263	0.503856749311295	0.334490358126722	0.308686868686869	0.402828282828283	0.130064279155188	0.32852157943067	0.314545454545455	0.229090909090909	0.337685950413223	0.29959595959596	0.362516069788797	0.339467401285583	0.46574839302112	0.36099173553719	0.0903030303030303	0.392800734618916	0.301267217630854	0.453149678604224	0.32315886134068	0.306299357208448	0.273021120293848	0.323544536271809	0.323103764921947	0.301671258034894	0.376088154269973	0.328888888888889	0.121010101010101	0.270817263544536	0.307272727272727	0.18236914600551	0.299283746556474	0.348246097337006	0.421671258034894	0.427346189164371	0.308264462809917	0.425050505050505	0.369862258953168	0.393443526170799	0.307566574839302	0.385656565656566	0.306887052341598	0.560165289256198	0.314508723599633	0.416749311294766	0.240220385674931	0.404315886134068	0.0776308539944903	0.302883379247016	0.567144168962351	0.325068870523416	0.45147842056933	0.337006427915519	0.333443526170799	0.487180899908173	0.395518824609734	0.452102846648301	0.396859504132231	0.348337924701561	0.462405876951332	0.444683195592286	0.419779614325069	0.311331496786042	0.430413223140496	0.441303948576676	0.495078053259871	0.407750229568411	0.300606060606061	0.395996326905418	0.392947658402204
GA31	0.0817630853994491	0.181322314049587	0.0902112029384757	0.103397612488522	0.416198347107438	0.0576124885215794	0.0843709825528007	0.294967860422406	0	0.158769513314968	0.193535353535354	0.248062442607897	0.645013774104683	0.101267217630854	0.218714416896235	0.174839302112029	0.278126721763085	0.0381634527089073	0.0518457300275482	0.211937557392103	0.17941230486685	0.122222222222222	0.2833608815427	0.284903581267218	0.735078053259872	0.274471992653811	0.774931129476584	0.0562534435261708	0.206023875114784	0.0552066115702479	0.361010101010101	0.169678604224059	0.124077134986226	0.0768778696051424	0.0914784205693297	0.0543067033976125	0.0535537190082645	0.162516069788797	0.102020202020202	0.110780532598714	0.163452708907254	0.471643709825528	0.0777410468319559	0.0653443526170799	0.564591368227732	0.184775022956841	0.151202938475666	0.162718089990817	0.115298438934803	0.0663728191000918	0.0451239669421488	0.143195592286501	0.0548760330578512	0.331258034894399	0.0734618916437098	0.236363636363636	0.0783103764921946	0.0614508723599633	0.143636363636364	0.188227731864095	0.0629017447199265	0.0530027548209366	0.171258034894399	0.0798163452708907	0.0754820936639118	0.128007346189164	0.0770431588613407	0.197006427915519	0.112690541781451	0.29366391184573	0.127033976124885	0.0351147842056933	0.185436179981635	0.0599449035812672	0.0570982552800735	0.150229568411387	0.0640036730945822	0.160752984389348	0.155261707988981	0.109237832874197	0.0697153351698806	0.225160697887971	0.0933149678604224	0.122332415059688	0.13504132231405	0.0664095500459137	0.0808264462809917	0.154343434343434	0.161267217630854	0.246887052341598	0.157685950413223	0.103415977961433	0.127823691460055	0.0370982552800735	0.134600550964187	0.106648301193756	0.53821854912764	0.0499357208448118	0.149072543617998	0.24396694214876	0.150192837465565	0.2489072543618	0.0372635445362718	0.545179063360882	0.0580716253443526	0.18396694214876	0.076951331496786	0.140257116620753	0.218494031221304	0.128650137741047	0.184370982552801	0.148135904499541	0.139926538108356	0.19485766758494	0.180973370064279	0.162112029384757	0.088595041322314	0.161616161616162	0.172433425160698	0.226207529843893	0.140165289256198	0.0437281910009183	0.127933884297521	0.124793388429752
GA32	0.228668503213958	0.330064279155188	0.0848668503213958	0.0667401285583103	0.44791551882461	0.204536271808999	0.0856565656565656	0.426391184573003	0.158769513314968	0	0.342681359044995	0.390266299357208	0.64514233241506	0.0705234159779614	0.367511478420569	0.0406978879706152	0.427015610651974	0.149586776859504	0.12137741046832	0.363434343434343	0.329274563820018	0.0737190082644628	0.432139577594123	0.415996326905418	0.735096418732783	0.423856749311295	0.774931129476584	0.119871441689624	0.354949494949495	0.11801652892562	0.365509641873278	0.0367309458218549	0.0499173553719008	0.0923415977961432	0.240844811753903	0.198640955004591	0.191056014692378	0.191221303948577	0.25048668503214	0.263746556473829	0.289954086317723	0.620422405876951	0.0941230486685032	0.119889807162534	0.585454545454546	0.317869605142332	0.0406244260789715	0.290633608815427	0.262552800734619	0.212157943067034	0.137832874196511	0.0401652892561984	0.12674012855831	0.385730027548209	0.125601469237833	0.0971349862258953	0.0944719926538108	0.197924701561065	0.0355188246097337	0.319742883379247	0.110045913682277	0.130394857667585	0.320477502295684	0.0991368227731864	0.22396694214876	0.0703948576675849	0.0989348025711662	0.05544536271809	0.0720477502295684	0.403434343434343	0.0529476584022038	0.170505050505051	0.0467952249770432	0.107988980716253	0.203195592286501	0.159302112029385	0.116124885215794	0.122295684113866	0.135555555555556	0.0616161616161616	0.103746556473829	0.373755739210285	0.241671258034894	0.122056932966024	0.26435261707989	0.215206611570248	0.0895133149678604	0.0386042240587695	0.0384022038567493	0.39623507805326	0.0363269054178145	0.0767493112947658	0.0520110192837466	0.167144168962351	0.0598163452708907	0.255206611570248	0.687364554637281	0.13307621671258	0.038475665748393	0.392764003673094	0.0485399449035813	0.389935720844812	0.163213957759412	0.693976124885216	0.112194674012856	0.0452157943067034	0.0911478420569329	0.103801652892562	0.0756290174471993	0.0481359044995409	0.0481910009182737	0.0527456382001836	0.213847566574839	0.057208448117539	0.0444811753902663	0.0452157943067034	0.127162534435262	0.0374288337924702	0.0390449954086318	0.0804224058769513	0.0493296602387512	0.177594123048669	0.0477318640955005	0.0500275482093664
