	shannon_entropy
GA1	1.39921366689091
GA15	1.81929858972321
GA2	1.39037403027488
GA21	1.37669204885697
GA22	1.82172429787009
GA23	1.48475041252242
GA25	1.45580481971175
GA30	2.08729903392533
GA31	1.52534856597525
GA32	1.40021279407565
GA34	1.387975575703
GA36	1.87196684568717
GA38	1.43882492908145
GA43	1.36683178995842
GA46	1.32934433107887
GA47	1.29730527182012
GA50	1.84991100840975
GA51	1.43401817170121
GA53	1.4107947141819
GA57	1.44159057385872
GA6	1.40003526417132
GA64	1.54348493314226
GA66	1.26563801206701
GA68	1.89128120269949
GA69	1.21201980663925
GA70	1.82458381447111
GA73	1.08063503535937
GA74	1.38863817816537
GA75	1.37903592280389
GA78	1.42625742867738
GA80	1.84803567300977
GA84	1.26766865889525
GA88	1.42741308520288
GA90	1.44565054155917
GA91	1.47414220207997
GA93	1.44493840041385
GB104	1.40603020758693
GB105	1.75805651621839
GB106	1.42436116910978
GB107	1.47502583927268
GB108	1.8144847340322
GB110	0.882508078273835
GB111	1.37672594593643
GB112	1.43245830652057
GB114	1.59510359183706
GB117	1.8644324173202
GB120	1.30459304251236
GB123	1.78280895998818
GB124	1.73137941921224
GB129	1.4100419486654
GB131	1.40506263743525
GB132	1.30186285532555
GB133	1.40058089404616
GB134	1.8438452147826
GB135	1.50626438857436
GB136	1.15455364463477
GB139	1.38329956996776
GB140	1.37469052050595
GB141	1.41092201242507
GB142	1.84646083540779
GB145	1.38113572913577
GB148	1.36174543795038
GB153	1.69199820341815
GB154	1.34157693519677
GB156	1.48232477312057
GB158	1.4804552857532
GB160	1.37933274356482
GB161	1.30017996582408
GB162	1.32956316929009
GB163	1.90023753811143
GB166	1.31103052936965
GB167	1.4856433445171
GB168	1.21885228685684
GB170	1.41501738949651
GB171	1.39814740276707
GB172	1.70955458327338
GB173	1.37096321598379
GB174	1.67336778356046
GB176	1.72535691910346
GB177	1.35724434797862
GB180	1.38614259085405
GB181	1.84158259385539
GB182	1.57149885650487
GB183	1.60846031268983
GB185	1.77962895750916
GB188	1.43449389758516
GB190	1.42134979613879
GB191	1.29210468027184
GB192	1.27810236302636
GB99	1.30334808852592
GCDF193	1.32472871381397
GCDF195	1.51458142682369
GCDF198	1.31631985773915
GCDF199	1.41118084593733
GCDF200	1.46256295085832
GCDF203	1.40499771037837
GCDF204	0.711660187290372
GCDF205	1.3781784609717
GCDF206	1.30032745216988
GCDF208	1.60800797820509
GCDF209	1.41656285430709
GCDF210	1.88421786866571
GCDF212	1.46694385710998
GCDF214	0.660778379498649
GCDF216	1.43448460673182
GCDF218	1.27520181323155
GCDF221	1.41513968214129
GCDF223	1.58818786195415
GCDF226	1.1667269458128
GCDF230	1.34547073113057
GCDF244	1.23451495699406
GCDF246	1.42080136261748
GCDF252	2.1301454178835
GCDF254	1.21569261173903
GCDF255	1.29172512783794
GCDF257	1.36695176649651
GCDF259	1.60455214826271
GCDF261	1.29407894113456
GCDF273	1.28065381454111
GCDF279	1.21694378485908
GCDF281	1.34278259614192
GCDF284	1.49175595113497
GCDF287	1.35610615290056
GCDF288	1.47329981330401
