	GA1	GA15	GA2	GA21	GA22	GA23	GA25	GA30	GA31	GA32	GA34	GA36	GA38	GA43	GA46	GA47	GA50	GA51	GA53	GA57	GA6	GA64	GA66	GA68	GA69	GA70	GA73	GA74	GA75	GA78	GA80	GA84	GA88	GA90	GA91	GA93	GB104	GB105	GB106	GB107	GB108	GB110	GB111	GB112	GB114	GB117	GB120	GB123	GB124	GB129	GB131	GB132	GB133	GB134	GB135	GB136	GB139	GB140	GB141	GB142	GB145	GB148	GB153	GB154	GB156	GB158	GB160	GB161	GB162	GB163	GB166	GB167	GB168	GB170	GB171	GB172	GB173	GB174	GB176	GB177	GB180	GB181	GB182	GB183	GB185	GB188	GB190	GB191	GB192	GB99	GCDF193	GCDF195	GCDF198	GCDF199	GCDF200	GCDF203	GCDF204	GCDF205	GCDF206	GCDF208	GCDF209	GCDF210	GCDF212	GCDF214	GCDF216	GCDF218	GCDF221	GCDF223	GCDF226	GCDF230	GCDF244	GCDF246	GCDF252	GCDF254	GCDF255	GCDF257	GCDF259	GCDF261	GCDF273	GCDF279	GCDF281	GCDF284	GCDF287	GCDF288
GA1	0	0.0326761932987155	0.0428203790251053	0.0468616476752842	0.0762123535528327	0.00932636112268694	0.0436385361609435	0.0637748611319547	0.0226696938031701	0.0611354233038546	0.0322947411826163	0.0522815742426448	0.124788366107628	0.0461958217425178	0.0391296779435843	0.0673512526308045	0.060074798123102	0.0241920814380247	0.0312409978077719	0.0384776836468114	0.0285768203456143	0.0543307711304438	0.057118308213022	0.0609247842521378	0.146335837064367	0.0581688798512473	0.158415638136141	0.0317798998733663	0.0357525503695613	0.0325956213748967	0.050243280414078	0.0661289880447316	0.0551587189312535	0.0403525504763379	0.00832711976148527	0.00997315483953277	0.0121921211560615	0.0211206581725767	0.00819559842453931	0.0112713237794003	0.0243602615000323	0.109697963252212	0.0386731386222322	0.0327925417346485	0.117186979889268	0.0322584773818351	0.0607541375464261	0.0244004140052982	0.0136028642935509	0.00846560627828832	0.027416059737931	0.057797920937189	0.0289860389317677	0.0568938981553521	0.0385212640682555	0.0860673621146366	0.0376801966228569	0.0114006900388484	0.0617233708952412	0.031965007949056	0.035355396060781	0.0289637377824296	0.0276520622499061	0.037924663775196	0.00562228989726252	0.0467971656283345	0.0381437226320908	0.074866629610158	0.0451108774904049	0.0588634127393515	0.0534023570668216	0.0181374743632558	0.0702258652885153	0.0343847490207414	0.0088491862918476	0.0270751087051449	0.033252922733399	0.0399535326193077	0.034865989208673	0.0488976108832191	0.0355996346439828	0.0456793628482506	0.00929965342470266	0.0337684329862546	0.0172808280572145	0.00689360219632473	0.0414292968132279	0.0614897011957987	0.0634284640728223	0.0472619515100513	0.0632013126530431	0.049944132942744	0.0536470761654353	0.0184302299878457	0.0523191195244741	0.00965946499314724	0.128399333568534	0.0284399444406683	0.0601532173277152	0.0473733172573224	0.0575890706268826	0.0525046480499735	0.0194849821861194	0.130209072972789	0.0346469586771546	0.0699768706102564	0.0394130731283715	0.0407160137488384	0.0797462825371762	0.0544462399651306	0.0700452114747028	0.0556604116778783	0.0416426222696148	0.0726226716104782	0.0682514344878269	0.0616102829726055	0.0331599305223937	0.0639305964789607	0.0670052297187574	0.0821362504302853	0.0577355744034955	0.0161328654021326	0.0546156032142615	0.0568492143518395
GA15	0.0326761932987155	0	0.0731968873302744	0.0775496758746378	0.0440257539916219	0.0388339109944575	0.0743764922624887	0.031979649882726	0.0534298299162677	0.091762432997877	0.0150709682134817	0.0200879251527967	0.0925234508032751	0.0766896912545869	0.0190715724696415	0.0977008935779032	0.0287341048395393	0.0545551615080448	0.061679397719075	0.0189196724501072	0.0136276203057155	0.0850757947473815	0.0365890064323791	0.0287227415564385	0.114070932070414	0.0273976890450212	0.126122993426492	0.0620902958090859	0.0162372180458271	0.0630900470370596	0.0199808003286822	0.096667241342742	0.0858736163889519	0.0711500551739726	0.0308614323536555	0.0402773034693015	0.0422906809947406	0.0410764851804936	0.0273556075143543	0.0257074219560382	0.0137310078193556	0.0891327524576524	0.0690996068896669	0.0632542651334796	0.0848943242671514	0.00816550960698438	0.0911814389054221	0.013616800355264	0.0227638571852385	0.0372264220219369	0.0577680455012755	0.0883249397380183	0.0595857339977014	0.0247190226753703	0.0690495345854398	0.116794232692983	0.0683127547228577	0.0413814884883286	0.0924668704168965	0.00973937839899927	0.0656773003965917	0.0592868959888665	0.00981158087961376	0.0682460095620517	0.0339125829438368	0.0753398315247261	0.0684994654824035	0.105499196609463	0.0756650736009834	0.0266259198519166	0.0837242554384049	0.0487901021660578	0.100547771261196	0.0648732149992326	0.0389639830047434	0.0484868176469598	0.0635511077413655	0.0625393867793709	0.0567242199122304	0.0793304575437849	0.0660545371021285	0.0140637885391091	0.0278784199288548	0.05979818041728	0.0198679199686857	0.0359688847692627	0.0719786419185123	0.0918171536741835	0.093933430359219	0.0268698302332801	0.0937981272135118	0.0806891567478276	0.0839800711232002	0.0488129176876762	0.0814820205171903	0.0267344449195221	0.107995010761902	0.0587622670814244	0.0905084032753501	0.0218613821721513	0.0869519595395435	0.0204810672862963	0.0500854036272174	0.109671615139403	0.0651852120880527	0.100210935554721	0.0700900106493271	0.0660026990855583	0.110068195922808	0.0848846350504894	0.1004004020131	0.0845955887978727	0.0707307057549255	0.102977865723648	0.098274577597175	0.0911447561599992	0.0604713371757305	0.0942716415632855	0.0973493229560178	0.11247480284385	0.0879735724643023	0.0460872226253603	0.0850096199699123	0.0875896680535692
GA2	0.0428203790251053	0.0731968873302744	0	0.00763538952933323	0.112271064835967	0.0362783017370737	0.00784673974990393	0.102379680432455	0.0237002536240551	0.0196721168103242	0.0742340809242292	0.0913244484349935	0.16069370086747	0.00682709749900933	0.08088017480843	0.0252701733167274	0.101351182493899	0.0191049254452339	0.0122248550154965	0.080930703818196	0.0708825821151035	0.014570729675317	0.0989222199176297	0.0992618418402142	0.182233369711674	0.100264078288367	0.194252313839065	0.0120986106968955	0.0776805975521454	0.0113997475168846	0.086485201662237	0.024467541798573	0.0139895125710866	0.00808021674788736	0.0466571032925688	0.0349074396107233	0.0318899188717507	0.0359555935731741	0.0485441014170647	0.0533809416146591	0.0619544330796208	0.151377152914953	0.00680937232464938	0.0114795159445041	0.153001712578716	0.0708933994174004	0.0187926370170758	0.0621817538307773	0.0529203255745498	0.0374805677983195	0.0162311571713706	0.0161462966305665	0.0146239533658243	0.0927915754492837	0.0194003163799267	0.0447234919652192	0.00679111787214442	0.0332969836091077	0.0204354063607752	0.0699748892449971	0.00910224108027784	0.0147295340159532	0.0696729946919162	0.00740345386932886	0.0417763591188975	0.00777907450236568	0.0076376337974304	0.0333982374368593	0.00620633318803903	0.0961615304001654	0.011408899092313	0.0270760038942851	0.0280149180743128	0.00991135032440658	0.0351537863413493	0.0268219268852563	0.010848546966868	0.0149965982630172	0.0197176369838417	0.00819724544910996	0.0087876353957314	0.0863737922650997	0.0464680454872473	0.0153189094906504	0.0542756725817618	0.0394807727160779	0.00621399727051447	0.0192923470108648	0.0216475668071647	0.0893694344494078	0.0216433356534878	0.0115383723539046	0.0120518291886482	0.0249542502799269	0.0107290223511312	0.0495265853600671	0.170544772738158	0.0151998311796548	0.0181970433332026	0.0891479274088686	0.0157198391459656	0.0916709431042575	0.0241989758632362	0.172007592037471	0.0092769485346813	0.0277880637652495	0.00746560432228514	0.0115861639596823	0.0375239275245353	0.0128705343925347	0.0280778993372664	0.0137221413626891	0.0372853997831393	0.0305124858601226	0.0262331352145834	0.0194644256626641	0.0144896746655418	0.0218191071074795	0.0248477212106339	0.0401262873877781	0.0156124015644456	0.0276290924391813	0.0128220988242332	0.015554500136976
GA21	0.0468616476752842	0.0775496758746378	0.00763538952933323	0	0.116261482389286	0.0400804020088128	0.00780428468480217	0.105354613050668	0.0268315452931806	0.0148453386006595	0.0787489455983494	0.0960232075115647	0.164801258330393	0.0055150706079939	0.085722384202962	0.0216802406228251	0.105875651568475	0.0238956320146569	0.0166005292140662	0.0842175883325663	0.0747159075631638	0.0109776796566115	0.103722984742637	0.10387540631222	0.186365379679083	0.104248516863645	0.198456272332355	0.0164996894650312	0.0821838510608432	0.0152900080546981	0.0899184013556952	0.0202727018940178	0.0093481296178358	0.00892203666312112	0.0504180012703544	0.0384523732343105	0.0363961101293263	0.040248940557693	0.052938855883449	0.0563795197416436	0.0669083364232622	0.15632997814453	0.00958997972669419	0.0153933931424311	0.15723678138521	0.0748183356240542	0.0150845298741126	0.0671287691879152	0.0569641365848406	0.0423989425780195	0.0211072877294036	0.012116029645749	0.0183792277662592	0.0970860566906255	0.0230998892920336	0.0396674091767783	0.00947465312860041	0.0382542877806106	0.0150076305620711	0.0749059024859558	0.0133854291387693	0.0195927062880888	0.0737894985335644	0.010714526292915	0.045272700319236	0.0067291071878351	0.01098546719489	0.0286263046654487	0.0051223323914173	0.100689276526071	0.00889611700338058	0.0309136415822337	0.0245791272721206	0.0130307136610329	0.0398905039247539	0.0306653299303067	0.0150927875644875	0.0185927997738349	0.0233909875116866	0.00634685193536559	0.0119820654373428	0.0905099673704668	0.0512325358812255	0.0185281749993487	0.0592254355474554	0.042897205799818	0.00719403979401433	0.0158446349810357	0.0175315531657425	0.0935987156599459	0.0170727521416289	0.00865965347849961	0.00880334931872597	0.0297781828358167	0.00863630544497735	0.0543180436949537	0.174859387404991	0.0201400172416911	0.0144750029319013	0.093939555940604	0.011975984834017	0.0959225801205394	0.028201579624279	0.176813358760843	0.0130622785731285	0.0243245675745938	0.0085004314743782	0.0144305885769427	0.034095372063945	0.00908602689947895	0.024321784538151	0.0105916324113919	0.040567949658843	0.0269572243583624	0.022533276682776	0.0159588704906366	0.0185231435432503	0.0182562350963402	0.0213419701809985	0.0364229257284391	0.0122017956202417	0.0321803223717995	0.00922851177341672	0.0104114544116939
GA22	0.0762123535528327	0.0440257539916219	0.112271064835967	0.116261482389286	0	0.0822817434114639	0.113690843260047	0.0334670702654003	0.0955878107084168	0.129255596736465	0.0495157333260233	0.0247072057441027	0.0490963821948478	0.115311909203578	0.0430498675565527	0.134817071710572	0.0187758826556606	0.0961590027718833	0.102374445308339	0.0456520993676451	0.0524830186005795	0.123007038702266	0.0299441767762406	0.0172466204802722	0.0705977735495326	0.0216466988521543	0.0825867481303938	0.102625210553107	0.0462008956819773	0.103619965564723	0.028628038138979	0.133973322432451	0.123830621140172	0.110669765358019	0.0745727800284371	0.0837773281817484	0.0854981253393973	0.0770978036176677	0.0709838769727885	0.0695323864694196	0.0527184867497646	0.0722431112268958	0.108690210815632	0.103769397720544	0.0415703291920098	0.0444090797782245	0.128448420928584	0.0525742580719066	0.0656375249452663	0.0804017344583767	0.098887760229785	0.125869458672976	0.100704859001468	0.0205969371517763	0.109524407170036	0.154301375602231	0.108259252752319	0.0842897867915606	0.130096580042984	0.045065669737982	0.105644625244719	0.100149251746409	0.0500455273296496	0.107846295743278	0.0776980020331614	0.113286937351781	0.108097241532923	0.14300956930777	0.11456856394958	0.0178897872924654	0.121444344069019	0.0915844960495679	0.137502650720905	0.105310921867688	0.0822657458107881	0.0860962864726481	0.103841514223152	0.099579910437266	0.0941320810504634	0.117558328491269	0.106168248587184	0.0310506059251951	0.0711430717222016	0.0982942370453266	0.0606197781409278	0.0797258370151423	0.111316092161819	0.12896192216813	0.131273461712731	0.0361851430262881	0.131255188298346	0.119201131014511	0.121688640177852	0.0911325202746825	0.118981475255104	0.0700964582613622	0.0914983570274681	0.0997029983184554	0.127897525074506	0.0331947754014923	0.124311078527961	0.0243081694581743	0.0924808931621638	0.0929005246872854	0.105432121515876	0.137216546544523	0.109843720841889	0.103450285816433	0.147015812571603	0.122623592765644	0.137555609372529	0.121804433714862	0.109556334036769	0.140002428431704	0.135422462164754	0.128220107142973	0.0994550372765522	0.131413445027188	0.134395921696918	0.14965247460688	0.125316924217975	0.0886931952201959	0.122772081557548	0.125388039031414
GA23	0.00932636112268694	0.0388339109944575	0.0362783017370737	0.0400804020088128	0.0822817434114639	0	0.0367086067080799	0.0693339188065794	0.0159424611230879	0.0543054688834783	0.0395752641965042	0.0583067798629554	0.130847526469616	0.039699961384288	0.0465227543103574	0.0608929775730528	0.0666835865363328	0.0177760811768369	0.0247248698736193	0.0453462560821061	0.035755835962717	0.0475401945713192	0.064507886692129	0.0669664001148759	0.152406090738797	0.064924298851478	0.164491438504421	0.0253157154045472	0.043005735999105	0.026024734902412	0.0560523282096844	0.0595651731421851	0.0482046316293153	0.0335370305775091	0.012203642301205	0.00659147856611232	0.00795678351123845	0.0163105162462652	0.0139996532363714	0.017686507462364	0.0303247125085556	0.117118429881756	0.0321817524411311	0.0262389706654681	0.12327942116694	0.0381233850023662	0.0543172170191702	0.0304622642338426	0.0187742361996436	0.00846147527941738	0.0209720352372964	0.0512511662085249	0.0223588248987616	0.0629562223800505	0.0319250222916404	0.0792705512257537	0.0309771927581592	0.0080045466981546	0.0547372554664058	0.0380044567088286	0.0289014318600447	0.0225302278101821	0.0345072212318579	0.0314867007310944	0.00795476045694691	0.0400704200934581	0.0316808895405495	0.0680802223658321	0.0384508112276142	0.0648255492325383	0.0469425648375593	0.012008241295457	0.0637678657517289	0.0276756034411415	0.00638462553821467	0.0204481454613158	0.026775413738432	0.033286956110687	0.0280762748284773	0.042345441783769	0.0290730339051648	0.0518386325036938	0.0130221071051001	0.026892211862059	0.0224384440560684	0.00681650399517343	0.0348703302631173	0.0550260195753189	0.0567893501032483	0.0545258411403858	0.0564218754268656	0.0430142473090779	0.0471466448948239	0.0123274601781929	0.0456069132331947	0.0153555947007856	0.135708850065265	0.0220209366366775	0.0536728887019133	0.0545262204803	0.050883933563124	0.0584357253680325	0.0131550416523224	0.137635083361105	0.0280339100558047	0.063440380862566	0.0325164292760269	0.0340583425843053	0.0732871706813875	0.0478562147855157	0.0635368692679237	0.0489652631333982	0.0370510724382569	0.0661652299265067	0.061585322022438	0.0549396190303143	0.0264213534937513	0.0574689822440798	0.0605350236850555	0.075632758024666	0.0511920545814615	0.0103207283883798	0.0480302905645033	0.0498844137923284
GA25	0.0436385361609435	0.0743764922624887	0.00784673974990393	0.00780428468480217	0.113690843260047	0.0367086067080799	0	0.100467272178091	0.0224466856305647	0.0210600490258499	0.0754277371246405	0.0928924663951903	0.162176043848799	0.00881182511261843	0.0826324099543119	0.028296619691331	0.102729224571676	0.0208104324828118	0.0137594044867038	0.0801420540294864	0.071297810497609	0.0142459347420795	0.100627462897036	0.100742786069109	0.183831820734824	0.100981023651783	0.195922717602566	0.0135906255766373	0.0789602951268957	0.0124263105152006	0.0871875584125519	0.0268908637867431	0.0140295675297202	0.00732731213322794	0.0464291381038199	0.0347904611868088	0.0332331872460517	0.0377000350919035	0.0498318231166011	0.0518971467108438	0.0638164150895494	0.153240010744393	0.00805762100898933	0.0122624398608965	0.154710694093897	0.0716285105757039	0.0216579881609615	0.0640387965196913	0.0536527743167949	0.0392981356555464	0.0181121633698543	0.0185326030313254	0.0151441832510472	0.0943217903676659	0.0190755379988313	0.0455888243711958	0.00686676310130743	0.0351640369479704	0.019937426642035	0.0718159285383393	0.0109241697513922	0.0165455801873421	0.0706107685285987	0.00884688005199411	0.0418097797141533	0.0094057378533174	0.00934552822280863	0.0349385004603502	0.0066655757213764	0.0975949985511375	0.0145867316692014	0.0265385742026447	0.0312289031166019	0.0101833881062427	0.0367999759436858	0.0280723523235682	0.0124414759838596	0.0166138451019622	0.0208160369045506	0.0107495625823209	0.00927812215928553	0.0873201382581634	0.0481356235239843	0.0157565268913679	0.0561357409966112	0.039474250259574	0.00734246391309143	0.0224869170724744	0.0240630794297716	0.0904199778281077	0.0233516426042023	0.00969912798021628	0.0149042139751743	0.0266683143516532	0.0135060621924096	0.0512165507358132	0.17165846851739	0.0170951851671844	0.0211046509576416	0.0908440317619931	0.0185144564296787	0.0927161061854073	0.0248914637809826	0.173723392715358	0.0102921177543737	0.0308540266082443	0.00610003093930168	0.0130910460103416	0.0407451477202803	0.0152734761323893	0.0309521505101161	0.0167447739384241	0.0372100372356598	0.0336065818790836	0.0291647409004244	0.0225933366878466	0.0156940682603027	0.0248972641003102	0.0279888193678073	0.0430624229889928	0.0187263865014444	0.0290429936157483	0.0153827365309075	0.0156556202917162
GA30	0.0637748611319547	0.031979649882726	0.102379680432455	0.105354613050668	0.0334670702654003	0.0693339188065794	0.100467272178091	0	0.0802756750372925	0.119694949325287	0.0382849967878575	0.0211249822280323	0.0811403800893312	0.105687325876771	0.034732004458254	0.127025816025156	0.0241446231463642	0.0846658881113987	0.0909462744238401	0.0328523004709771	0.0395354613323103	0.110435730580128	0.0374515241369455	0.0228291718157554	0.102698944132737	0.0252884228459813	0.114789843559265	0.0916307038731045	0.0357987108555707	0.0921647435035368	0.0301335684089649	0.125587202683844	0.111987459238129	0.0987325417574006	0.0615484533135337	0.0702333302058355	0.0734815867335507	0.0690748208776267	0.0589308662697522	0.0541309881390947	0.0415892016819932	0.0874826114888143	0.0982825270656383	0.0923433614650158	0.0735785157767811	0.0319404844006505	0.120406502500327	0.0414235674296365	0.0530430684336508	0.0689447595916613	0.087625868166938	0.117189423905479	0.0883977782696184	0.0254923795547449	0.0978672218443167	0.144138723009765	0.0968333063553078	0.0729355594199715	0.116089048484961	0.0338537622280795	0.0950765645865238	0.0890289240262725	0.0378459415614906	0.097634563617634	0.0643895001649255	0.104193232652515	0.0978668603782702	0.13362032318055	0.104177297892595	0.0222568910079773	0.1130991097201	0.0787369626941103	0.129928164936677	0.0935254079675434	0.0706523567287609	0.0775599273467305	0.0929915085434914	0.0919197842930302	0.0857574762117983	0.108472324531488	0.0951457743843396	0.0226134603673762	0.0595155239029966	0.088159223247056	0.0494588105516	0.0663188621401787	0.100771018953034	0.121186458176435	0.122742442169575	0.0334162542013207	0.122010553575525	0.105852672698522	0.113282804236268	0.0796458628216777	0.110707092089484	0.0584794200128979	0.105895523922612	0.088581219917596	0.119805580588302	0.0301858931591715	0.116129172495519	0.0203808215870099	0.0799141334313335	0.107965993158745	0.0940418636256998	0.129574688847619	0.0975712765798424	0.0953657583455847	0.13944858583537	0.113909995089276	0.12964765539374	0.113953788247373	0.0944626564630354	0.132302780419287	0.127532929483086	0.120508510280739	0.0896964315513168	0.123601676162445	0.126696430899278	0.141771981963004	0.117326233874668	0.076801024753638	0.11406271806871	0.113900707752416
GA31	0.0226696938031701	0.0534298299162677	0.0237002536240551	0.0268315452931806	0.0955878107084168	0.0159424611230879	0.0224466856305647	0.0802756750372925	0	0.0411206627960759	0.0546208127505249	0.0722152773629535	0.144204350583481	0.0270274524633406	0.0616635705786522	0.0483180556559201	0.081753603022809	0.00897854871840941	0.0126676805848914	0.0591939360354886	0.0503328785375513	0.0337850832559093	0.0796457149765708	0.0804811128687979	0.165762919518683	0.0800392394038764	0.177853812472989	0.013365905120442	0.0580584718422456	0.0136745412119034	0.0691396004398062	0.0468876289410724	0.0340901927533324	0.0201755173438501	0.0258543329040586	0.0141719620359704	0.0129191464688064	0.0199997469387723	0.0288568378962351	0.0310250346106712	0.0437200961803848	0.132271166251163	0.0196095832689392	0.0140100415529109	0.136641792125172	0.0512997401934682	0.0417152117523882	0.0438943593339487	0.0327474601435089	0.018373973916915	0.0102832989809527	0.0385168370687299	0.0104679732590519	0.0763176229566035	0.0196705787263886	0.065640277182213	0.0182321710004048	0.0148276558000068	0.0398300383239985	0.0515274990989704	0.0164548511560442	0.010975379118169	0.0496460084963326	0.0190757514410323	0.0208670834709674	0.0275535506638463	0.0193308424698471	0.0549422773447904	0.0256405288372377	0.0781566806965404	0.0344152516224469	0.00908355904752483	0.051229566900116	0.0148857688775869	0.0158724796962971	0.0139869506273306	0.0144091646934888	0.0210557021388803	0.0166584264882135	0.0297802557058708	0.0165667980956384	0.0663705666859945	0.0271745931470033	0.0146249174046321	0.0359191997635244	0.0185106850718383	0.0220757466646833	0.0424907724890444	0.044064395769377	0.0694504060377978	0.0433576931668953	0.0282663394781676	0.0346000624839405	0.00839551467439066	0.0332195019123681	0.0302386105323982	0.150689616046771	0.0110706939771207	0.0411072575835267	0.0698751913703451	0.0384821030076104	0.0720772786874964	0.0079722789555995	0.15275453783647	0.0154857485263486	0.0509663965891708	0.0190635786410609	0.0218046412737382	0.0607426117992762	0.0352177926800167	0.050948919559067	0.036633462598077	0.0319994817478488	0.0536054363003885	0.0491626188158989	0.0425925998562815	0.0144244398042146	0.0448880917533781	0.0479890675933072	0.0630646170389773	0.0387088688786584	0.0101765023657318	0.0353668726453877	0.0356194769606145
GA32	0.0611354233038546	0.091762432997877	0.0196721168103242	0.0148453386006595	0.129255596736465	0.0543054688834783	0.0210600490258499	0.119694949325287	0.0411206627960759	0	0.0929617025334426	0.110230416586303	0.176688352167004	0.0157152679678278	0.0999295956107101	0.00873409209930517	0.120074265533023	0.0380207610250723	0.0306568286861434	0.0984614596824453	0.0889884236485067	0.0172449092079669	0.117919097569856	0.118071952100956	0.198248361246754	0.118489007305617	0.210333721956821	0.0305683098808684	0.0963633260642639	0.0293951361825821	0.101967835140349	0.00668649436644928	0.00920269990015323	0.0225676586098894	0.0646534958722615	0.0526358637620102	0.050604830900527	0.0533807656229144	0.0671913963225153	0.0707087626661917	0.0811079049652273	0.170531638794475	0.0233085727356751	0.0295176227492365	0.169875034629697	0.0890810178084807	0.00644843387793787	0.0813304237043015	0.0712095322557772	0.056578918087362	0.0352685966274955	0.00583528478705145	0.0325984653235987	0.110851568104041	0.0372575884214555	0.025603481126253	0.0236219262534922	0.0524549748409878	0.00662813337303397	0.0891075642271475	0.027402850658153	0.0337775287905125	0.0880410847338763	0.0248220320226568	0.0595769437425064	0.016798883380199	0.0246606131996771	0.0145073320076923	0.0163445049388842	0.11489503657577	0.00985040174058704	0.0451962559888459	0.0106806689614637	0.0271562098459613	0.0540911950020477	0.0438674365292595	0.0292678711691288	0.0308031344203034	0.0356865973597524	0.0130588376560634	0.0260633702361674	0.104728269381355	0.0654379336370362	0.0324182358918467	0.0734262535668383	0.0572816567740055	0.0202539765906304	0.00629330804627953	0.00613655730954964	0.107883588758984	0.00644334942817387	0.0173064307168578	0.00963097847080931	0.043947003198543	0.011417477368142	0.06852954129378	0.189061051366305	0.0343074469516675	0.00623426723148147	0.108141219977177	0.0074417694316556	0.110146431158287	0.0424276466735385	0.191020573329444	0.0271161484503836	0.010356624101552	0.0224368972327523	0.0269566854894763	0.0199519356505738	0.00860394472244544	0.0103392767775192	0.00914298765351902	0.0543584870644892	0.0129205541299524	0.00883777476694303	0.00687444361392409	0.0325113685256002	0.00704157966861708	0.00830463237820588	0.0222486198098973	0.00754577640063045	0.0463165832551742	0.00781696346456731	0.0105358500014802
